accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled,seed
0.8948328555521334,0.9571343912556792,0.9026048619950944,0.9290701947813303,0.1302,0.0973951380049054,SVM,smotenc,True,,PGD_eps0.15_it25,0.026368783908645,PGD,0.15,25.0,,257668.0,2.0,proto;conn_state,True,42
0.1243336729133597,0.1197183098591549,0.0232233226737868,0.0389005902696518,0.55,0.9767766773262132,RF,smotenc,True,,PGD_eps0.15_it25,0.8750503447132129,PGD,0.15,25.0,,257668.0,2.0,proto;conn_state,True,42
0.0529744841147622,0.129438717067583,0.0421000341519451,0.0635351997188708,0.912,0.9578999658480548,MLP,smotenc,True,,PGD_eps0.15_it25,0.9459830841763603,PGD,0.15,25.0,,257668.0,2.0,proto;conn_state,True,42
0.7838612618162003,0.9183762232693004,0.7866745319631159,0.8474389203832841,0.2252,0.2133254680368841,LR,smotenc,True,,PGD_eps0.3_it10,0.1457982894643322,PGD,0.3,10.0,,257668.0,2.0,proto;conn_state,True,42
0.5568717572081784,0.8183489698741219,0.5389176938122885,0.6498689629352302,0.3853,0.4610823061877115,SVM,smotenc,True,,PGD_eps0.3_it10,0.3757966310502499,PGD,0.3,10.0,,257668.0,2.0,proto;conn_state,True,42
0.2376744296240138,0.5054907343857241,0.0457325592225775,0.0838766620163425,0.1441,0.9542674407774224,RF,smotenc,True,,PGD_eps0.3_it10,0.7615437465943282,PGD,0.3,10.0,,257668.0,2.0,proto;conn_state,True,42
0.0407732947949489,0.1224117486089574,0.0416653730323822,0.0621699249513573,0.9621,0.9583346269676176,MLP,smotenc,True,,PGD_eps0.3_it10,0.958184273496174,PGD,0.3,10.0,,257668.0,2.0,proto;conn_state,True,42
0.7678220284773389,0.913221464134243,0.768791331615387,0.8348054750185423,0.2353,0.231208668384613,LR,smotenc,True,,PGD_eps0.3_it25,0.1617190646544575,PGD,0.3,25.0,,257668.0,2.0,proto;conn_state,True,42
0.5374209291857187,0.820076713434945,0.5044863236983452,0.6246852353766603,0.3565,0.4955136763016548,SVM,smotenc,True,,PGD_eps0.3_it25,0.394726243218271,PGD,0.3,25.0,,257668.0,2.0,proto;conn_state,True,42
0.2122533109052571,0.3311709373986377,0.0316992145052625,0.0578601382749631,0.2062,0.9683007854947376,RF,smotenc,True,,PGD_eps0.3_it25,0.7870596318320737,PGD,0.3,25.0,,257668.0,2.0,proto;conn_state,True,42
0.0407732947949489,0.1224117486089574,0.0416653730323822,0.0621699249513573,0.9621,0.9583346269676176,MLP,smotenc,True,,PGD_eps0.3_it25,0.958184273496174,PGD,0.3,25.0,,257668.0,2.0,proto;conn_state,True,42
