model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
LR,FGSM_eps0.5,3980,3935,0.2383735705209657,0.2462311557788944,FGSM,0.5,1,password,,42
LR,FGSM_eps0.5,3903,3336,0.8069544364508393,0.8347425057647964,FGSM,0.5,1,ransomware,,42
LR,FGSM_eps0.5,4041,3649,0.8711975883803782,0.8708240534521158,FGSM,0.5,1,scanning,,42
LR,FGSM_eps0.5,4002,3722,0.3871574422353573,0.4272863568215892,FGSM,0.5,1,xss,,42
SVM,FGSM_eps0.5,4053,4053,0.995558845299778,0.995558845299778,FGSM,0.5,1,backdoor,,42
SVM,FGSM_eps0.5,4004,2956,0.5605548037889039,0.4218281718281718,FGSM,0.5,1,ddos,,42
SVM,FGSM_eps0.5,4117,3609,0.9936270435023552,0.983726014087928,FGSM,0.5,1,dos,,42
SVM,FGSM_eps0.5,3900,3740,0.4098930481283422,0.4274358974358974,FGSM,0.5,1,injection,,42
SVM,FGSM_eps0.5,209,113,0.2831858407079646,0.5598086124401914,FGSM,0.5,1,mitm,,42
SVM,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,,42
SVM,FGSM_eps0.5,3980,3936,0.4420731707317073,0.4469849246231155,FGSM,0.5,1,password,,42
SVM,FGSM_eps0.5,3903,3328,0.8512620192307693,0.8662567255956957,FGSM,0.5,1,ransomware,,42
SVM,FGSM_eps0.5,4041,3653,0.8724336162058582,0.8700816629547142,FGSM,0.5,1,scanning,,42
SVM,FGSM_eps0.5,4002,3719,0.4267276149502554,0.4560219890054972,FGSM,0.5,1,xss,,42
RF,FGSM_eps0.5,4053,4053,0.999013076733284,0.999013076733284,FGSM,0.5,1,backdoor,,42
RF,FGSM_eps0.5,4004,3988,0.7921263791374122,0.7892107892107892,FGSM,0.5,1,ddos,,42
RF,FGSM_eps0.5,4117,4109,0.990265271355561,0.9900412922030604,FGSM,0.5,1,dos,,42
RF,FGSM_eps0.5,3900,3895,0.9897304236200256,0.9887179487179488,FGSM,0.5,1,injection,,42
RF,FGSM_eps0.5,209,200,0.895,0.8851674641148325,FGSM,0.5,1,mitm,,42
RF,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,,42
RF,FGSM_eps0.5,3980,3980,0.9979899497487436,0.9979899497487436,FGSM,0.5,1,password,,42
RF,FGSM_eps0.5,3903,3903,0.9959005892902896,0.9959005892902896,FGSM,0.5,1,ransomware,,42
RF,FGSM_eps0.5,4041,4041,0.8158871566443949,0.8158871566443949,FGSM,0.5,1,scanning,,42
RF,FGSM_eps0.5,4002,4002,0.9822588705647176,0.9822588705647176,FGSM,0.5,1,xss,,42
MLP,FGSM_eps0.5,4053,4049,1.0,1.0,FGSM,0.5,1,backdoor,,42
MLP,FGSM_eps0.5,4004,2975,0.9677310924369747,0.7205294705294706,FGSM,0.5,1,ddos,,42
MLP,FGSM_eps0.5,4117,4066,0.99877029021151,0.9868836531454944,FGSM,0.5,1,dos,,42
MLP,FGSM_eps0.5,3900,3867,0.9084561675717612,0.9007692307692308,FGSM,0.5,1,injection,,42
MLP,FGSM_eps0.5,209,160,0.83125,0.6411483253588517,FGSM,0.5,1,mitm,,42
MLP,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,,42
MLP,FGSM_eps0.5,3980,3970,0.8292191435768262,0.828140703517588,FGSM,0.5,1,password,,42
