accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence
0.5307652557047405,0.09243697478991597,0.0032801224579050953,0.0063354323452618645,0.027,0.9967198775420949,RF,random,441209,110303,0.45604380660544136,FGSM_eps0.3,0.46906249150068446,FGSM,0.3,1.0,
0.2791492525135309,0.02055086832342996,0.012444585809991452,0.015501956317171018,0.49725,0.9875554141900086,MLP,random,441209,110303,0.45604380660544136,FGSM_eps0.3,0.720361186912414,FGSM,0.3,1.0,
0.09503821292258596,0.026252846290733052,0.027274715225732063,0.026754026754026754,0.84815,0.9727252847742679,LR,random,441209,110303,0.45604380660544136,FGSM_eps0.5,0.8328785255160784,FGSM,0.5,1.0,
0.016164564880374967,0.018270583367811337,0.021947001172892274,0.01994075572574236,0.9886833333333334,0.9780529988271077,SVM,random,441209,110303,0.45604380660544136,FGSM_eps0.5,0.9083977770323564,FGSM,0.5,1.0,
0.538752345811084,0.16782407407407407,0.0028825318569469017,0.005667715519768601,0.011983333333333334,0.9971174681430531,RF,random,441209,110303,0.45604380660544136,FGSM_eps0.5,0.46108446733089764,FGSM,0.5,1.0,
0.18351268777821092,0.014743933994043841,0.01200723614893744,0.013235600258576296,0.6727,0.9879927638510626,MLP,random,441209,110303,0.45604380660544136,FGSM_eps0.5,0.815870828535942,FGSM,0.5,1.0,
0.04181209939892841,0.018063483224279548,0.020634952189730233,0.019263782048307924,0.9404333333333333,0.9793650478102698,LR,random,441209,110303,0.45604380660544136,FGSM_eps0.75,0.8863675511998768,FGSM,0.75,1.0,
0.010697805136759653,0.012902050415714333,0.01548615390732163,0.014076490093150587,0.9933166666666666,0.9845138460926783,SVM,random,441209,110303,0.45604380660544136,FGSM_eps0.75,0.9139279983318677,FGSM,0.75,1.0,
0.5421339401466868,0.2635294117647059,0.002226507365365883,0.004415707301687431,0.005216666666666666,0.9977734926346341,RF,random,441209,110303,0.45604380660544136,FGSM_eps0.75,0.4576756751856251,FGSM,0.75,1.0,
0.27089925024704675,0.035788045991183993,0.023080134385623122,0.028062457700860487,0.5213333333333333,0.9769198656143768,MLP,random,441209,110303,0.45604380660544136,FGSM_eps0.75,0.728484266067106,FGSM,0.75,1.0,
0.6736262839632648,0.6230238599026338,0.7199769397451444,0.6680008115535717,0.36523333333333335,0.28002306025485557,LR,random,441209,110303,0.45604380660544136,PGD_eps0.15_it10,0.2528943002456869,PGD,0.15,10.0,
0.415664125182452,0.2864,0.188597101564519,0.2274296399290406,0.3939666666666667,0.811402898435481,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.15_it10,0.5082092055519796,PGD,0.15,10.0,
