model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
RF,FGSM_eps0.3,7,7,1.0,1.0,FGSM,0.3,1,Web Attack - SQL,,42
RF,FGSM_eps0.3,2,2,1.0,1.0,FGSM,0.3,1,Web Attack - SQL - Attempted,,42
RF,FGSM_eps0.3,20,20,1.0,1.0,FGSM,0.3,1,Web Attack - XSS,,42
RF,FGSM_eps0.3,2,2,1.0,1.0,FGSM,0.3,1,Web Attack - XSS - Attempted,,42
MLP,FGSM_eps0.3,60000,0,,,FGSM,0.3,1,Benign,,42
MLP,FGSM_eps0.3,6081,6081,0.9986844269034698,0.9986844269034698,FGSM,0.3,1,Botnet Ares,,42
MLP,FGSM_eps0.3,60,60,1.0,1.0,FGSM,0.3,1,Botnet Ares - Attempted,,42
MLP,FGSM_eps0.3,6017,6017,1.0,1.0,FGSM,0.3,1,DDoS-HOIC,,42
MLP,FGSM_eps0.3,6088,6088,1.0,1.0,FGSM,0.3,1,DDoS-LOIC-HTTP,,42
MLP,FGSM_eps0.3,502,502,0.0079681274900398,0.0079681274900398,FGSM,0.3,1,DDoS-LOIC-UDP,,42
MLP,FGSM_eps0.3,55,47,1.0,0.8545454545454545,FGSM,0.3,1,DDoS-LOIC-UDP - Attempted,,42
MLP,FGSM_eps0.3,4496,4496,1.0,1.0,FGSM,0.3,1,DoS GoldenEye,,42
MLP,FGSM_eps0.3,861,861,1.0,1.0,FGSM,0.3,1,DoS GoldenEye - Attempted,,42
MLP,FGSM_eps0.3,6050,6050,1.0,1.0,FGSM,0.3,1,DoS Hulk,,42
MLP,FGSM_eps0.3,10,10,1.0,1.0,FGSM,0.3,1,DoS Hulk - Attempted,,42
MLP,FGSM_eps0.3,1592,1591,1.0,0.9993718592964824,FGSM,0.3,1,DoS Slowloris,,42
MLP,FGSM_eps0.3,465,465,1.0,1.0,FGSM,0.3,1,DoS Slowloris - Attempted,,42
MLP,FGSM_eps0.3,5846,5846,1.0,1.0,FGSM,0.3,1,FTP-BruteForce - Attempted,,42
MLP,FGSM_eps0.3,45,44,0.9090909090909092,0.8888888888888888,FGSM,0.3,1,Infiltration - Communication Victim Attacker,,42
MLP,FGSM_eps0.3,14,0,,0.0714285714285714,FGSM,0.3,1,Infiltration - Dropbox Download,,42
MLP,FGSM_eps0.3,4,0,,0.5,FGSM,0.3,1,Infiltration - Dropbox Download - Attempted,,42
MLP,FGSM_eps0.3,5997,5867,1.0,0.9864932466233116,FGSM,0.3,1,Infiltration - NMAP Portscan,,42
MLP,FGSM_eps0.3,6041,6041,1.0,1.0,FGSM,0.3,1,SSH-BruteForce,,42
MLP,FGSM_eps0.3,25,24,1.0,0.96,FGSM,0.3,1,Web Attack - Brute Force,,42
MLP,FGSM_eps0.3,23,21,1.0,0.9130434782608696,FGSM,0.3,1,Web Attack - Brute Force - Attempted,,42
MLP,FGSM_eps0.3,7,4,1.0,0.5714285714285714,FGSM,0.3,1,Web Attack - SQL,,42
MLP,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Web Attack - SQL - Attempted,,42
MLP,FGSM_eps0.3,20,20,1.0,1.0,FGSM,0.3,1,Web Attack - XSS,,42
MLP,FGSM_eps0.3,2,0,,0.0,FGSM,0.3,1,Web Attack - XSS - Attempted,,42
LR,FGSM_eps0.5,60000,0,,,FGSM,0.5,1,Benign,,42
LR,FGSM_eps0.5,6081,6078,1.0,1.0,FGSM,0.5,1,Botnet Ares,,42
LR,FGSM_eps0.5,60,60,1.0,1.0,FGSM,0.5,1,Botnet Ares - Attempted,,42
LR,FGSM_eps0.5,6017,6017,1.0,1.0,FGSM,0.5,1,DDoS-HOIC,,42
LR,FGSM_eps0.5,6088,157,1.0,1.0,FGSM,0.5,1,DDoS-LOIC-HTTP,,42
LR,FGSM_eps0.5,502,497,0.0362173038229376,0.0418326693227091,FGSM,0.5,1,DDoS-LOIC-UDP,,42
LR,FGSM_eps0.5,55,0,,1.0,FGSM,0.5,1,DDoS-LOIC-UDP - Attempted,,42
LR,FGSM_eps0.5,4496,4496,0.9770907473309608,0.9770907473309608,FGSM,0.5,1,DoS GoldenEye,,42
LR,FGSM_eps0.5,861,861,1.0,1.0,FGSM,0.5,1,DoS GoldenEye - Attempted,,42
LR,FGSM_eps0.5,6050,6050,0.9986776859504132,0.9986776859504132,FGSM,0.5,1,DoS Hulk,,42
LR,FGSM_eps0.5,10,10,1.0,1.0,FGSM,0.5,1,DoS Hulk - Attempted,,42
LR,FGSM_eps0.5,1592,1559,0.9967928159076332,0.996859296482412,FGSM,0.5,1,DoS Slowloris,,42
LR,FGSM_eps0.5,465,458,1.0,1.0,FGSM,0.5,1,DoS Slowloris - Attempted,,42
LR,FGSM_eps0.5,5846,5846,1.0,1.0,FGSM,0.5,1,FTP-BruteForce - Attempted,,42
LR,FGSM_eps0.5,45,44,0.2727272727272727,0.2888888888888888,FGSM,0.5,1,Infiltration - Communication Victim Attacker,,42
LR,FGSM_eps0.5,14,0,,0.1428571428571428,FGSM,0.5,1,Infiltration - Dropbox Download,,42
LR,FGSM_eps0.5,4,0,,0.75,FGSM,0.5,1,Infiltration - Dropbox Download - Attempted,,42
LR,FGSM_eps0.5,5997,5628,0.894633972992182,0.8799399699849925,FGSM,0.5,1,Infiltration - NMAP Portscan,,42
LR,FGSM_eps0.5,6041,6041,1.0,1.0,FGSM,0.5,1,SSH-BruteForce,,42
LR,FGSM_eps0.5,25,0,,0.96,FGSM,0.5,1,Web Attack - Brute Force,,42
LR,FGSM_eps0.5,23,0,,0.9130434782608696,FGSM,0.5,1,Web Attack - Brute Force - Attempted,,42
LR,FGSM_eps0.5,7,3,1.0,0.5714285714285714,FGSM,0.5,1,Web Attack - SQL,,42
LR,FGSM_eps0.5,2,0,,0.0,FGSM,0.5,1,Web Attack - SQL - Attempted,,42
LR,FGSM_eps0.5,20,0,,1.0,FGSM,0.5,1,Web Attack - XSS,,42
LR,FGSM_eps0.5,2,0,,0.0,FGSM,0.5,1,Web Attack - XSS - Attempted,,42
SVM,FGSM_eps0.5,60000,0,,,FGSM,0.5,1,Benign,,42
SVM,FGSM_eps0.5,6081,6081,1.0,1.0,FGSM,0.5,1,Botnet Ares,,42
SVM,FGSM_eps0.5,60,60,1.0,1.0,FGSM,0.5,1,Botnet Ares - Attempted,,42
SVM,FGSM_eps0.5,6017,6017,1.0,1.0,FGSM,0.5,1,DDoS-HOIC,,42
SVM,FGSM_eps0.5,6088,0,,1.0,FGSM,0.5,1,DDoS-LOIC-HTTP,,42
SVM,FGSM_eps0.5,502,498,0.0040160642570281,0.0079681274900398,FGSM,0.5,1,DDoS-LOIC-UDP,,42
SVM,FGSM_eps0.5,55,0,,0.8545454545454545,FGSM,0.5,1,DDoS-LOIC-UDP - Attempted,,42
SVM,FGSM_eps0.5,4496,4496,1.0,1.0,FGSM,0.5,1,DoS GoldenEye,,42
SVM,FGSM_eps0.5,861,861,1.0,1.0,FGSM,0.5,1,DoS GoldenEye - Attempted,,42
SVM,FGSM_eps0.5,6050,6050,1.0,1.0,FGSM,0.5,1,DoS Hulk,,42
SVM,FGSM_eps0.5,10,10,1.0,1.0,FGSM,0.5,1,DoS Hulk - Attempted,,42
SVM,FGSM_eps0.5,1592,1559,0.9993585631815266,0.9993718592964824,FGSM,0.5,1,DoS Slowloris,,42
SVM,FGSM_eps0.5,465,458,1.0,1.0,FGSM,0.5,1,DoS Slowloris - Attempted,,42
SVM,FGSM_eps0.5,5846,5846,1.0,1.0,FGSM,0.5,1,FTP-BruteForce - Attempted,,42
SVM,FGSM_eps0.5,45,45,0.9111111111111112,0.9111111111111112,FGSM,0.5,1,Infiltration - Communication Victim Attacker,,42
SVM,FGSM_eps0.5,14,0,,0.0,FGSM,0.5,1,Infiltration - Dropbox Download,,42
SVM,FGSM_eps0.5,4,0,,0.5,FGSM,0.5,1,Infiltration - Dropbox Download - Attempted,,42
SVM,FGSM_eps0.5,5997,5230,0.9095602294455069,0.9054527263631816,FGSM,0.5,1,Infiltration - NMAP Portscan,,42
SVM,FGSM_eps0.5,6041,6041,1.0,1.0,FGSM,0.5,1,SSH-BruteForce,,42
SVM,FGSM_eps0.5,25,0,,0.96,FGSM,0.5,1,Web Attack - Brute Force,,42
SVM,FGSM_eps0.5,23,0,,0.9130434782608696,FGSM,0.5,1,Web Attack - Brute Force - Attempted,,42
SVM,FGSM_eps0.5,7,0,,0.5714285714285714,FGSM,0.5,1,Web Attack - SQL,,42
SVM,FGSM_eps0.5,2,0,,0.0,FGSM,0.5,1,Web Attack - SQL - Attempted,,42
