accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.79,0.9389312977099236,0.7834394904458599,0.8541666666666666,0.1860465116279069,0.2165605095541401,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.805,0.953846153846154,0.7898089171974523,0.8641114982578397,0.1395348837209302,0.2101910828025477,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
0.805,0.953846153846154,0.7898089171974523,0.8641114982578397,0.1395348837209302,0.2101910828025477,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.65,0.8849557522123894,0.6369426751592356,0.7407407407407407,0.3023255813953488,0.3630573248407643,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.64,0.8695652173913043,0.6369426751592356,0.7352941176470589,0.3488372093023256,0.3630573248407643,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.64,0.8695652173913043,0.6369426751592356,0.7352941176470589,0.3488372093023256,0.3630573248407643,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.585,0.7890625,0.643312101910828,0.7087719298245614,0.627906976744186,0.3566878980891719,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,SVM,0.1,Clean,0.0001516580581665,50,200,,,,,31
0.875,0.9852941176470588,0.8535031847133758,0.9146757679180888,0.0465116279069767,0.1464968152866242,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,31
0.785,0.9672131147540984,0.7515923566878981,0.8458781362007168,0.0930232558139534,0.2484076433121019,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,31
0.715,0.8731343283582089,0.7452229299363057,0.8041237113402062,0.3953488372093023,0.2547770700636942,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,31
0.7,0.8646616541353384,0.732484076433121,0.7931034482758621,0.4186046511627907,0.267515923566879,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.895,0.9857142857142858,0.8789808917197452,0.9292929292929292,0.0465116279069767,0.1210191082802547,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.8,0.9148936170212766,0.821656050955414,0.8657718120805369,0.2790697674418604,0.1783439490445859,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
0.84,0.9032258064516128,0.89171974522293,0.8974358974358975,0.3488372093023256,0.10828025477707,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.695,0.8,0.8152866242038217,0.807570977917981,0.7441860465116279,0.1847133757961783,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.745,0.8354430379746836,0.8407643312101911,0.8380952380952381,0.6046511627906976,0.1592356687898089,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.64,0.7777777777777778,0.7579617834394905,0.7677419354838709,0.7906976744186046,0.2420382165605095,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.6,0.7655172413793103,0.7070063694267515,0.7350993377483444,0.7906976744186046,0.2929936305732484,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.475,1.0,0.3312101910828025,0.4976076555023923,0.0,0.6687898089171974,RF,0.1,Clean,0.0053262674808502,50,200,,,,,31
0.2,0.4444444444444444,0.0764331210191082,0.1304347826086956,0.3488372093023256,0.9235668789808916,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,31
0.275,0.6153846153846154,0.2038216560509554,0.3062200956937799,0.4651162790697674,0.7961783439490446,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,31
0.34,0.7358490566037735,0.2484076433121019,0.3714285714285714,0.3255813953488372,0.7515923566878981,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,31
0.36,0.7457627118644068,0.2802547770700637,0.4074074074074074,0.3488372093023256,0.7197452229299363,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.29,0.7272727272727273,0.1528662420382165,0.2526315789473684,0.2093023255813953,0.8471337579617835,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.275,0.6875,0.1401273885350318,0.2328042328042328,0.2325581395348837,0.8598726114649682,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.18,0.2666666666666666,0.0254777070063694,0.0465116279069767,0.2558139534883721,0.9745222929936306,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
0.18,0.3793103448275862,0.0700636942675159,0.1182795698924731,0.4186046511627907,0.929936305732484,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.195,0.3888888888888889,0.0445859872611464,0.08,0.2558139534883721,0.9554140127388536,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.205,0.45,0.0573248407643312,0.1016949152542373,0.2558139534883721,0.9426751592356688,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.19,0.3333333333333333,0.0318471337579617,0.0581395348837209,0.2325581395348837,0.9681528662420382,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
