model,defense_attack,eval_attack,family,accuracy_mean,accuracy_std,adv_train_s_mean,adv_train_s_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,ratio_mean,ratio_std,recall_mean,recall_std,retrain_s_mean,retrain_s_std
MLP,PGD,FGSM_eps0.15,FGSM,0.9088156554289369,0.0493418620974951,440.98431303501127,18.161508888366665,,,0.15,0.0,0.9360030217169755,0.03984338043531789,0.10699493930267934,0.0671066819631889,0.040260000000000004,0.03418089784920486,1.0,0.0,0.9865004655556768,0.010954552732190063,0.4,0.10540925533894598,0.8930050606973206,0.06710668196318889,,
MLP,PGD,FGSM_eps0.3,FGSM,0.9088535620365323,0.05184466619688541,440.98431303501127,18.161508888366665,,,0.3,0.0,0.9359516675357129,0.04201759746878096,0.10575615511192518,0.07112254460814826,0.044090000000000004,0.03693250450333539,1.0,0.0,0.9852965561938186,0.011634557428552074,0.4,0.10540925533894598,0.8942438448880747,0.07112254460814826,,
MLP,PGD,FGSM_eps0.5,FGSM,0.8123599232391197,0.09870378444983456,440.98431303501127,18.161508888366665,,,0.5,0.0,0.8606397457939089,0.08502755717790873,0.20485889037225619,0.13026914010147686,0.13218000000000002,0.035878213754620254,1.0,0.0,0.9501015644102384,0.015186760087369881,0.4,0.10540925533894598,0.7951411096277438,0.13026914010147683,,
MLP,PGD,FGSM_eps0.75,FGSM,0.6133218034068564,0.11928897784420427,440.98431303501127,18.161508888366665,,,0.75,0.0,0.6811491228203514,0.12705179728109586,0.4323356825731938,0.1530064397457375,0.23962,0.1263903283922908,1.0,0.0,0.8812619489971049,0.06928114252880797,0.4,0.10540925533894598,0.5676643174268061,0.15300643974573752,,
MLP,PGD,PGD_eps0.15_it10,PGD,0.9234333909829656,0.014978393867470807,440.98431303501127,18.161508888366665,,,0.15,0.0,0.9478112376992722,0.010595155311406894,0.08762457698158896,0.01867350467111478,0.04095,0.03265800055116663,10.0,0.0,0.986392977169509,0.010659563266980275,0.4,0.10540925533894598,0.912375423018411,0.018673504671114793,,
MLP,PGD,PGD_eps0.15_it25,PGD,0.9161008315762041,0.036160380027698655,440.98431303501127,18.161508888366665,,,0.15,0.0,0.9419674041020537,0.02779326384824557,0.09715607438914586,0.0488235324507816,0.0412,0.032636244337307635,25.0,0.0,0.9862422213565096,0.010591102256441361,0.4,0.10540925533894598,0.9028439256108541,0.04882353245078163,,
MLP,PGD,PGD_eps0.3_it10,PGD,0.9088606695254567,0.06666032826924641,440.98431303501127,18.161508888366665,,,0.3,0.0,0.9356242747944739,0.0527669965165573,0.10688006457822344,0.07804469490669953,0.04044,0.03666300587786005,10.0,0.0,0.985242979901465,0.015715613627459147,0.4,0.10540925533894598,0.8931199354217766,0.07804469490669955,,
MLP,PGD,PGD_eps0.3_it25,PGD,0.9134947523040109,0.054626420742503165,440.98431303501127,18.161508888366665,,,0.3,0.0,0.9390488482241317,0.04347646144722263,0.10535875065975345,0.06911717911290008,0.025779999999999997,0.009199734295680018,25.0,0.0,0.9908570655647939,0.004497735436659593,0.4,0.10540925533894598,0.8946412493402465,0.06911717911290008,,
MLP,PGD,PGD_eps0.5_it10,PGD,0.8221445663247173,0.09205789857496004,440.98431303501127,18.161508888366665,,,0.5,0.0,0.8707442108180924,0.07849803864139487,0.19138129094352507,0.10354146438336331,0.13429,0.0614728928516916,10.0,0.0,0.9481768253780238,0.03283127504696567,0.4,0.10540925533894598,0.8086187090564749,0.10354146438336335,,
MLP,PGD,PGD_eps0.5_it25,PGD,0.818114620104717,0.08303973628362758,440.98431303501127,18.161508888366665,,,0.5,0.0,0.8681296756220819,0.07244631574584576,0.1936073768201434,0.098782770449759,0.14413,0.05676156857123195,25.0,0.0,0.9457300387955712,0.02568341929333051,0.4,0.10540925533894598,0.8063926231798566,0.09878277044975894,,
MLP,PGD,PGD_eps0.75_it10,PGD,0.7527375678172902,0.06790863113072867,440.98431303501127,18.161508888366665,,,0.75,0.0,0.8186785738007881,0.0606987085646918,0.25697475860784247,0.08411184819126145,0.21598,0.10419519929226852,10.0,0.0,0.9179070628973311,0.03594334893431844,0.4,0.10540925533894598,0.7430252413921574,0.08411184819126144,,
