model,attack,family,accuracy_mean,accuracy_std,asr_mean,asr_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,recall_mean,recall_std
SVM,FGSM_eps0.15,FGSM,0.682811722618399,0.3395625342765447,0.2393517970101163,0.35213666459856036,,,0.15,0.0,0.7232137628314387,0.3516108037721343,0.3238846285199789,0.3545315320719339,0.29562,0.2976273374540719,1.0,0.0,0.7955318395234019,0.32149284232381986,0.6761153714800211,0.35453153207193383
SVM,FGSM_eps0.3,FGSM,0.5321376957520908,0.30841594762011154,0.39668791016134,0.3176574464820697,,,0.3,0.0,0.6021701212052839,0.3237041074449772,0.46823558632680307,0.3058856734711177,0.46665999999999996,0.31884384579288966,1.0,0.0,0.7054104489438715,0.32970833298258984,0.5317644136731969,0.3058856734711177
SVM,FGSM_eps0.5,FGSM,0.42500414603520575,0.32037702722361683,0.5050392096472316,0.3295601030997056,,,0.5,0.0,0.48556894652075544,0.3370263875412898,0.5794281101555466,0.33332230206388674,0.56072,0.33055766819119475,1.0,0.0,0.6138519927063643,0.3154936609215106,0.4205718898444534,0.33332230206388674
SVM,FGSM_eps0.75,FGSM,0.3950674026866308,0.3347562598470584,0.5358999265559479,0.3427964096542941,,,0.75,0.0,0.44148825680798576,0.3722673662892546,0.6105001707597255,0.35800320788600776,0.587,0.352747345844019,1.0,0.0,0.5470404458025937,0.34727991797541624,0.3894998292402745,0.35800320788600776
SVM,PGD_eps0.15_it10,PGD,0.7093321329574261,0.3571931466070824,0.21145727214575089,0.3698638829276929,,,0.15,0.0,0.7461318485450678,0.3667034223905158,0.28801266726691294,0.36577484651175257,0.29922,0.3306880357678518,10.0,0.0,0.7951206826315229,0.34214023945874256,0.711987332733087,0.3657748465117526
SVM,PGD_eps0.15_it25,PGD,0.7063848942168731,0.3596566069508819,0.21297353644957231,0.3731131141374287,,,0.15,0.0,0.7425521151779718,0.3711622882165977,0.29271321680275697,0.36778643357513136,0.29652,0.33410649050864005,25.0,0.0,0.7919642102159397,0.3516388840211212,0.707286783197243,0.3677864335751314
SVM,PGD_eps0.3_it10,PGD,0.5741050486862991,0.3258098577469533,0.349622118505532,0.3382400816379736,,,0.3,0.0,0.6404219361059523,0.33823445050081097,0.41173585022819703,0.335765503141947,0.4715,0.331556020907478,10.0,0.0,0.7185650492775297,0.33274424118329027,0.5882641497718029,0.335765503141947
SVM,PGD_eps0.3_it25,PGD,0.5812836124997038,0.3367800983319697,0.3433959582079651,0.34836693635756094,,,0.3,0.0,0.6455359820404825,0.345689982738643,0.3995963861032631,0.3516372852557933,0.4803,0.32423356550486876,25.0,0.0,0.7154188010152648,0.3321081240089641,0.6004036138967368,0.35163728525579324
SVM,PGD_eps0.5_it10,PGD,0.5067876519225758,0.3175919660002216,0.422734487905423,0.32818796282277146,,,0.5,0.0,0.5928081944165583,0.32869735251887106,0.4463535036790959,0.3368019057093829,0.6441399999999999,0.33218501320800126,10.0,0.0,0.6545845908042718,0.3104138218135322,0.5536464963209041,0.3368019057093829
SVM,PGD_eps0.5_it25,PGD,0.5041815726503825,0.3190335169182928,0.42639247553839227,0.32704571303885116,,,0.5,0.0,0.5901951733084662,0.32998403228796425,0.446930982023658,0.34107699656009727,0.65328,0.3050773869037166,25.0,0.0,0.6493274805385603,0.30708181099106574,0.553069017976342,0.34107699656009727
SVM,PGD_eps0.75_it10,PGD,0.46475870075102466,0.29870076109709975,0.46472079414342915,0.3087509025757677,,,0.75,0.0,0.5636231508524516,0.3141216461301724,0.4762768170387159,0.3169222990474357,0.72516,0.32280245197333923,10.0,0.0,0.623838652392166,0.2987246590238153,0.5237231829612841,0.3169222990474356
SVM,PGD_eps0.75_it25,PGD,0.45370892463692575,0.29565626296987424,0.47958018432087945,0.30393680978891285,,,0.75,0.0,0.5518074850254722,0.3100395105237285,0.4928001490266696,0.3115630481955851,0.71858,0.3065059819970893,25.0,0.0,0.6187172146748686,0.2940425668683471,0.5071998509733304,0.31156304819558506
