accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence,seed
0.0206159397296537,0.0132879160905197,0.0156650696777528,0.0143789060718032,0.9752333333333332,0.9843349303222472,MLP,PGD_eps0.3_it10,0.9792934009047805,PGD,0.3,10,,7
0.4223819841708747,0.3752882970017112,0.4011092777766734,0.3877694177789308,0.5597833333333333,0.5988907222233266,LR,PGD_eps0.3_it25,0.4991432689954035,PGD,0.3,25,,7
0.180067631886712,0.1528335178522004,0.1756356479732819,0.1634431278963287,0.8162166666666667,0.8243643520267181,SVM,PGD_eps0.3_it25,0.7426543249050344,PGD,0.3,25,,7
0.5574825707369699,0.859344894026975,0.0354650816054708,0.0681189026136428,0.0048666666666666,0.9645349183945292,RF,PGD_eps0.3_it25,0.442281714912559,PGD,0.3,25,,7
0.0203348956963999,0.0126896272421997,0.014949406596028,0.0137271366507246,0.97515,0.985050593403972,MLP,PGD_eps0.3_it25,0.9795744449380344,PGD,0.3,25,,7
0.2138382455599575,0.2092774451097804,0.2605411208079041,0.2321124964579201,0.8253166666666667,0.7394588791920959,LR,PGD_eps0.5_it10,0.7077867329084431,PGD,0.5,10,,7
0.0422381984170874,0.0437148557953927,0.0527006341570085,0.0477890144755106,0.9665333333333334,0.9472993658429916,SVM,PGD_eps0.5_it10,0.8807557364713562,PGD,0.5,10,,7
0.5600119670362547,0.8347826086956521,0.0438940023457845,0.083402583666994,0.0072833333333333,0.9561059976542154,RF,PGD_eps0.5_it10,0.439779516422944,PGD,0.5,10,,7
0.0120939593664723,0.0112795734755081,0.0134584418424348,0.0122730527632497,0.98905,0.9865415581575652,MLP,PGD_eps0.5_it10,0.9878244472045185,PGD,0.5,10,,7
0.2110459371005321,0.206771540365727,0.2573802755302865,0.2293168493951363,0.8278,0.7426197244697136,LR,PGD_eps0.5_it25,0.7105518435581988,PGD,0.5,25,,7
0.0556648504573765,0.0449322383318125,0.0528596703973918,0.0485746385217526,0.9419833333333332,0.9471403296026082,SVM,PGD_eps0.5_it25,0.8673290844310672,PGD,0.5,25,,7
0.5554880646945233,0.946629213483146,0.0267976065045822,0.0521197827053569,0.0012666666666666,0.9732023934954178,RF,PGD_eps0.5_it25,0.4442943528281189,PGD,0.5,25,,7
0.0124384649556222,0.011286719349138,0.0134584418424348,0.0122772815886113,0.9884166666666668,0.9865415581575652,MLP,PGD_eps0.5_it25,0.9874799416153686,PGD,0.5,25,,7
0.0933247509133931,0.1372672076595247,0.1869669801005904,0.1583080147114518,0.9851833333333332,0.8130330198994096,LR,PGD_eps0.75_it10,0.8285359419054785,PGD,0.75,10,,7
0.0126379155598669,0.0186760840998685,0.0226030256644732,0.0204527670597123,0.9957166666666668,0.9773969743355267,SVM,PGD_eps0.75_it10,0.910392283074803,PGD,0.75,10,,7
0.5609004288187991,0.8733519776268478,0.0434566526847305,0.0827936219369011,0.0052833333333333,0.9565433473152696,RF,PGD_eps0.75_it10,0.438881988703843,PGD,0.75,10,,7
0.008059617598796,0.0109539174319516,0.0131602488917162,0.011956148747494,0.9962166666666666,0.9868397511082838,MLP,PGD_eps0.75_it10,0.9919041186549776,PGD,0.75,10,,7
0.1063162379989664,0.1394362199548856,0.1855555334671888,0.1592234997100065,0.9601166666666666,0.8144444665328112,LR,PGD_eps0.75_it25,0.8155535207564617,PGD,0.75,25,,7
0.0232813250772871,0.0372119258662369,0.0459018348806234,0.0411025962813632,0.9956833333333334,0.9540981651193766,SVM,PGD_eps0.75_it25,0.899767005430496,PGD,0.75,25,,7
0.5482987770051585,0.6610625420309347,0.0195415780370952,0.037960996331338,0.0084,0.9804584219629048,RF,PGD_eps0.75_it25,0.4514836405174836,PGD,0.75,25,,7
0.0080686835353526,0.01095409868617,0.0131602488917162,0.0119562567163639,0.9962,0.9868397511082838,MLP,PGD_eps0.75_it25,0.991895052718421,PGD,0.75,25,,7
0.7745210919013988,0.7162585034013605,0.8372462874977635,0.7720410987782187,0.2780666666666667,0.1627537125022364,LR,CW_c0.0_it10,0.1453541608115826,CW,,10,0.0,7
0.7717559812516432,0.7196224106284416,0.8183607339522494,0.7658220783569595,0.2673166666666666,0.1816392660477506,SVM,CW_c0.0_it10,0.1492978432136932,CW,,10,0.0,7
0.5937735147729436,0.9595250041813012,0.1140488638848577,0.2038662449806332,0.0040333333333333,0.8859511361151422,RF,CW_c0.0_it10,0.405999836813142,CW,,10,0.0,7
0.0062101665412545,0.0047591216498288,0.0056656660636542,0.0051729770936944,0.9933333333333332,0.9943343339363456,MLP,CW_c0.0_it10,0.9937626356490756,CW,,10,0.0,7
0.7729708167502244,0.7142905617481888,0.8369480945470449,0.7707700194061001,0.2806666666666667,0.1630519054529551,LR,CW_c0.5_it10,0.1469678975186531,CW,,10,0.5,7
0.7534337234708032,0.6955881357079976,0.8167902510784645,0.7513326201643946,0.2996833333333333,0.1832097489215355,SVM,CW_c0.5_it10,0.1679827384567963,CW,,10,0.5,7
0.5917699427939404,0.9451384199864956,0.1113054887382462,0.1991569886353531,0.0054166666666666,0.8886945112617538,RF,CW_c0.5_it10,0.4080034087921452,CW,,10,0.5,7
0.0031277481120187,0.0030158121865471,0.0035981949386716,0.003281363306744,0.9972666666666666,0.9964018050613284,MLP,CW_c0.5_it10,0.9968450540783116,CW,,10,0.5,7
0.1019011268959139,0.1067488225046777,0.1315627298570661,0.1178639168647984,0.9229666666666668,0.8684372701429338,LR,FGSM_eps0.15,0.8692147992348349,FGSM,0.15,1,,123
0.3275704196622032,0.2764666217127444,0.2934218635071467,0.2846920176293024,0.6438,0.7065781364928533,SVM,FGSM_eps0.15,0.5909812063135182,FGSM,0.15,1,,123
0.4835770559277626,0.0995670995670995,0.0164602508796692,0.0282502260359269,0.1248,0.9835397491203308,RF,FGSM_eps0.15,0.5162869550238888,FGSM,0.15,1,,123
0.2909259041005231,0.0444306607469313,0.027056040395205,0.0336319268548835,0.48785,0.972943959604795,MLP,FGSM_eps0.15,0.7084122825308469,FGSM,0.15,1,,123
0.0550936964543122,0.037149576831299,0.0430193030236765,0.039869558007996,0.9347833333333332,0.9569806969763236,LR,FGSM_eps0.3,0.9160312956129932,FGSM,0.3,1,,123
0.0533349047623364,0.0435860673020156,0.0513687056437985,0.047158448005256,0.9450166666666666,0.9486312943562014,SVM,FGSM_eps0.3,0.8655612268025349,FGSM,0.3,1,,123
0.3884572495761674,0.071927722871119,0.0286464027990378,0.0409741672235096,0.3098833333333333,0.971353597200962,RF,FGSM_eps0.3,0.6114067613754839,FGSM,0.3,1,,123
0.1200148681359527,0.0252396036387264,0.0247102558495517,0.024972124840534,0.8000833333333334,0.9752897441504484,MLP,FGSM_eps0.3,0.8793505163050869,FGSM,0.3,1,,123
0.0409780332357234,0.0138450753592709,0.0157048287378486,0.0147164293099112,0.9378333333333332,0.9842951712621514,LR,FGSM_eps0.5,0.9301560247681386,FGSM,0.5,1,,123
0.030914843657924,0.0360106260863861,0.0436554479852096,0.0394662353416902,0.9797666666666668,0.9563445520147904,SVM,FGSM_eps0.5,0.8879903538435038,FGSM,0.5,1,,123
0.4144492896838708,0.0408819181076043,0.0126433811104705,0.0193136957181901,0.2486833333333333,0.9873566188895294,RF,FGSM_eps0.5,0.5854147212677806,FGSM,0.5,1,,123
0.0886467276501999,0.0270641856260358,0.0285668846788461,0.0277952397992243,0.8609833333333333,0.9714331153211538,MLP,FGSM_eps0.5,0.9107095908542832,FGSM,0.5,1,,123
0.0396906702446896,0.0137086903304773,0.0155855515575611,0.0145869963625538,0.9401,0.9844144484424387,LR,FGSM_eps0.75,0.931452453695729,FGSM,0.75,1,,123
0.0207247309683326,0.0341136583790765,0.0420054469912331,0.0376504548167814,0.9971166666666668,0.9579945530087668,SVM,FGSM_eps0.75,0.8981804665330952,FGSM,0.75,1,,123
0.5472471283645957,0.618860510805501,0.0187861558952746,0.0364653675477522,0.0097,0.9812138441047252,RF,FGSM_eps0.75,0.4526168825870557,FGSM,0.75,1,,123
0.0704785907908216,0.0319244281924428,0.0354054430153271,0.0335749498072409,0.9001166666666667,0.9645945569846728,MLP,FGSM_eps0.75,0.9288777277136616,FGSM,0.75,1,,123
0.1071865679083977,0.1094411206770757,0.1341868278233902,0.1205572423647079,0.91545,0.8658131721766097,LR,PGD_eps0.15_it10,0.86372084168155,PGD,0.15,10,,123
0.2556684768319991,0.1710969984071492,0.1644235930262608,0.1676939296865496,0.6678333333333333,0.8355764069737391,SVM,PGD_eps0.15_it10,0.6629284788265052,PGD,0.15,10,,123
