accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.4,0.0,0.0,0.0,0.1752577319587628,1.0,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.4,0.0,0.0,0.0,0.1752577319587628,1.0,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.135,0.0,0.0,0.0,0.7216494845360825,1.0,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.14,0.0,0.0,0.0,0.711340206185567,1.0,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.095,0.0,0.0,0.0,0.8041237113402062,1.0,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.09,0.0,0.0,0.0,0.8144329896907216,1.0,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.055,0.0,0.0,0.0,0.8865979381443299,1.0,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.045,0.0,0.0,0.0,0.9072164948453608,1.0,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.335,0.2321428571428571,0.1262135922330097,0.1635220125786163,0.4432989690721649,0.8737864077669902,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.21,0.1839080459770115,0.1553398058252427,0.1684210526315789,0.7319587628865979,0.8446601941747572,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.94,0.9595959595959596,0.9223300970873788,0.9405940594059404,0.0412371134020618,0.0776699029126213,LR,0.25,Clean,0.0001534831523895,50,200,,,,,42
0.605,0.6363636363636364,0.5436893203883495,0.5863874345549738,0.3298969072164948,0.4563106796116505,LR,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
