accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.0096914861789797,0.0108892319439602,0.0130409717114287,0.0118683624916324,0.9931166666666666,0.9869590282885712,SVM,rf,25,PGD_eps0.5_it10,0.9691304860248589,PGD,0.5,10.0,
0.5164501418819071,0.1818372483221476,0.0172355525515376,0.0314866263550689,0.0650166666666666,0.9827644474484624,RF,rf,25,PGD_eps0.5_it10,0.4833776053235179,PGD,0.5,10.0,
0.061213203630001,0.0104262439777867,0.0112716935371647,0.0108324974924774,0.8969166666666667,0.9887283064628352,MLP,rf,25,PGD_eps0.5_it10,0.938741466687216,PGD,0.5,10.0,
0.0144239050615123,0.0114915611461452,0.0136572371429139,0.012481151100049,0.9849333333333332,0.986342762857086,LR,rf,25,PGD_eps0.5_it25,0.9638269131392618,PGD,0.5,25.0,
0.0096914861789797,0.0108892319439602,0.0130409717114287,0.0118683624916324,0.9931166666666666,0.9869590282885712,SVM,rf,25,PGD_eps0.5_it25,0.9691304860248589,PGD,0.5,25.0,
0.5348086634089735,0.2797904845045831,0.01274277876071,0.0243754040384834,0.0275,0.98725722123929,RF,rf,25,PGD_eps0.5_it25,0.465010017859895,PGD,0.5,25.0,
0.0611588080106615,0.0103350619735922,0.0111722958869252,0.0107373830972191,0.8969333333333334,0.9888277041130747,MLP,rf,25,PGD_eps0.5_it25,0.9387958623065557,PGD,0.5,25.0,
0.0133450586112798,0.0109135274258782,0.012981333121285,0.0118579587241344,0.98635,0.987018666878715,LR,rf,25,PGD_eps0.75_it10,0.9649057595894944,PGD,0.75,10.0,
0.0096642883693099,0.0107425117885368,0.0128620559409975,0.0117071228886013,0.9930166666666668,0.9871379440590023,SVM,rf,25,PGD_eps0.75_it10,0.9691576838345284,PGD,0.75,10.0,
0.5083089308541019,0.155932796639832,0.0177126612726875,0.0318117714265312,0.0803833333333333,0.9822873387273124,RF,rf,25,PGD_eps0.75_it10,0.4915278822878797,PGD,0.75,10.0,
0.0583393017415664,0.0059217444241518,0.006381329145379,0.0061429528274806,0.8981,0.993618670854621,MLP,rf,25,PGD_eps0.75_it10,0.9416153685756508,PGD,0.75,10.0,
0.0143785753787295,0.0109179811782042,0.0129614535912371,0.0118522827460212,0.9844333333333334,0.9870385464087628,LR,rf,25,PGD_eps0.75_it25,0.9638722428220448,PGD,0.75,25.0,
0.0096189586865271,0.0107578650286378,0.0128819354710454,0.011724474841231,0.9931166666666666,0.9871180645289546,SVM,rf,25,PGD_eps0.75_it25,0.9692030135173114,PGD,0.75,25.0,
0.5167402518517176,0.1836003372681281,0.0173150706717293,0.0316456845967991,0.06455,0.9826849293282708,RF,rf,25,PGD_eps0.75_it25,0.4831146931633772,PGD,0.75,25.0,
0.0582486423760006,0.0057565637742393,0.0062024133749478,0.0059711775851179,0.8981166666666667,0.993797586625052,MLP,rf,25,PGD_eps0.75_it25,0.9417060279412164,PGD,0.75,25.0,
0.2467657271334415,0.2796057497075394,0.4133749478162336,0.3335793121149897,0.8929166666666667,0.5866250521837664,LR,rf,25,CW_c0.0_it10,0.7308323436352593,CW,,10.0,0.0
0.0799706263655567,0.1226794851000457,0.1653976899986084,0.1408713025515992,0.99165,0.8346023100013915,SVM,rf,25,CW_c0.0_it10,0.8983617852642267,CW,,10.0,0.0
0.6872433206712419,0.996918820348362,0.3151700693795599,0.4789294021689877,0.0008166666666666,0.6848299306204402,RF,rf,25,CW_c0.0_it10,0.3125481627879568,CW,,10.0,0.0
0.0073887382936094,0.0068163258503741,0.008130727789595,0.007415734411546,0.9932333333333332,0.991869272210405,MLP,rf,25,CW_c0.0_it10,0.9925659320236077,CW,,10.0,0.0
0.2099489587771864,0.2583497310770038,0.391507464763533,0.3112863837892091,0.9422666666666668,0.608492535236467,LR,rf,25,CW_c0.5_it10,0.7676581779280709,CW,,10.0,0.5
0.0745582622412808,0.1154942965779467,0.1545832256525455,0.1322100466713706,0.9925333333333334,0.8454167743474544,SVM,rf,25,CW_c0.5_it10,0.9037922812616156,CW,,10.0,0.5
0.6875515625141655,0.9945051514205432,0.3166212750730572,0.4803220845019452,0.0014666666666666,0.6833787249269427,RF,rf,25,CW_c0.5_it10,0.3122489868815898,CW,,10.0,0.5
0.0030824184292358,0.0019534510969379,0.0023259050156054,0.0021234697859288,0.9962833333333332,0.9976740949843944,MLP,rf,25,CW_c0.5_it10,0.9968813178245378,CW,,10.0,0.5
0.9736271905569205,0.9734854539641944,0.9685505834642069,0.9710117487618459,0.022116666666666666,0.03144941653579309,LR,mi,30,clean,0.0,,,,
0.9752227953908779,0.9703939561743533,0.9754289008607836,0.9729049143922195,0.02495,0.02457109913921635,SVM,mi,30,clean,0.0,,,,
0.9997280219033027,0.9999005628144702,0.9995030117488023,0.9997017477581374,8.333333333333333e-05,0.0004969882511977417,RF,mi,30,clean,0.0,,,,
0.9980780214500059,0.9992624339679059,0.9965210822416158,0.9978898753832066,0.0006166666666666666,0.0034789177583841916,MLP,mi,30,clean,0.0,,,,
0.4421457258642104,0.3095448070008819,0.18142059121722362,0.2287648054145516,0.33926666666666666,0.8185794087827764,LR,mi,30,FGSM_eps0.15,0.5326328386353952,FGSM,0.15,1.0,
0.4756624933138718,0.38841653088431344,0.2606405184581436,0.3119512717409408,0.3440666666666667,0.7393594815418564,SVM,mi,30,FGSM_eps0.15,0.5002946429380887,FGSM,0.15,1.0,
0.549250700343599,0.5580747812251392,0.055781961314434525,0.10142596374545915,0.037033333333333335,0.9442180386855654,RF,mi,30,FGSM_eps0.15,0.45054078311559975,FGSM,0.15,1.0,
0.4314025910446679,0.05389867049946101,0.01490964753593225,0.023357937027001775,0.21941666666666668,0.9850903524640677,MLP,mi,30,FGSM_eps0.15,0.5679990571425981,FGSM,0.15,1.0,
0.2629937535697125,0.15783779009428756,0.1420988807824583,0.1495553928235171,0.63565,0.8579011192175418,LR,mi,30,FGSM_eps0.3,0.7122381077577219,FGSM,0.3,1.0,
0.28268496777059554,0.053290758595033634,0.03417291215235672,0.04164244186046512,0.5089666666666667,0.9658270878476433,SVM,mi,30,FGSM_eps0.3,0.693399091593157,FGSM,0.3,1.0,
0.5115636020779126,0.15834767641996558,0.016460250879669205,0.02982064395303609,0.07335,0.9835397491203308,RF,mi,30,FGSM_eps0.3,0.4882188154447295,FGSM,0.3,1.0,
0.361078121175308,0.0440737727149444,0.019382541796711925,0.026924404556437694,0.35245,0.980617458203288,MLP,mi,30,FGSM_eps0.3,0.6383960545044106,FGSM,0.3,1.0,
0.042437649021332145,0.020175210339144767,0.023119893445718943,0.02154741171675251,0.9413666666666667,0.976880106554281,LR,mi,30,FGSM_eps0.5,0.9328395419888852,FGSM,0.5,1.0,
0.1886168100595632,0.02850956333453627,0.023557243106772957,0.025797883920407542,0.673,0.976442756893227,SVM,mi,30,FGSM_eps0.5,0.7876123042890946,FGSM,0.5,1.0,
0.46627018304125906,0.05243915178105087,0.009979524084050654,0.016767987173491882,0.15118333333333334,0.9900204759159493,RF,mi,30,FGSM_eps0.5,0.5335122344813831,FGSM,0.5,1.0,
0.34484102880248046,0.1886359125577703,0.132258513408743,0.15549478801477118,0.4769333333333333,0.8677414865912569,MLP,mi,30,FGSM_eps0.5,0.6546875424965776,FGSM,0.5,1.0,
0.03600990000271978,0.019452449567723344,0.02254338707432956,0.020884170204145527,0.9527,0.9774566129256704,LR,mi,30,FGSM_eps0.75,0.9398293790740052,FGSM,0.75,1.0,
0.032664569413343246,0.015398099297118013,0.017812058922927063,0.016517346901154,0.9548833333333333,0.982187941077073,SVM,mi,30,FGSM_eps0.75,0.9436098746180974,FGSM,0.75,1.0,
0.4956528834211218,0.0812637535366237,0.010277717034769297,0.01824759551751522,0.09741666666666667,0.9897222829652307,RF,mi,30,FGSM_eps0.75,0.50415673191119,FGSM,0.75,1.0,
0.24919539813060387,0.021290379575370298,0.014372900224638689,0.01716076048515345,0.5539333333333334,0.9856270997753613,MLP,mi,30,FGSM_eps0.75,0.7503422391050107,FGSM,0.75,1.0,
0.3721476297108873,0.19887501191724663,0.1244060990398187,0.15306347071052953,0.42015,0.8755939009601813,LR,mi,30,PGD_eps0.15_it10,0.6031386272358866,PGD,0.15,10.0,
0.525561408121266,0.47452860980692463,0.37572311790549273,0.4193849021435228,0.34881666666666666,0.6242768820945073,SVM,mi,30,PGD_eps0.15_it10,0.45044105781347743,PGD,0.15,10.0,
0.5320526186957744,0.4184168012924071,0.06693437767131186,0.1154070265638389,0.078,0.9330656223286882,RF,mi,30,PGD_eps0.15_it10,0.4677297988268678,PGD,0.15,10.0,
0.41000698077114855,0.054996686946569485,0.018150010933741526,0.02729283749850532,0.2614666666666667,0.9818499890662584,MLP,mi,30,PGD_eps0.15_it10,0.5894309311623437,PGD,0.15,10.0,
0.4049753859822489,0.2732785139611926,0.1836669781126374,0.21968589126273613,0.4094833333333333,0.8163330218873626,LR,mi,30,PGD_eps0.15_it25,0.5702292775355158,PGD,0.15,25.0,
0.5266402545714985,0.4757651119118916,0.37270142933821043,0.41797367042325745,0.3443,0.6272985706617895,SVM,mi,30,PGD_eps0.15_it25,0.4493622113632449,PGD,0.15,25.0,
0.50415673191119,0.12285223367697594,0.014213863984255412,0.025479749835183436,0.08508333333333333,0.9857861360157446,RF,mi,30,PGD_eps0.15_it25,0.4956347515480087,PGD,0.15,25.0,
0.40857456279520954,0.05564482532881033,0.01858736059479554,0.027866360683098383,0.2644666666666667,0.9814126394052045,MLP,mi,30,PGD_eps0.15_it25,0.5908633491382828,PGD,0.15,25.0,
0.34273773152135484,0.14054351698895476,0.08625728087788005,0.1069035182812654,0.4422333333333333,0.9137427191221199,LR,mi,30,PGD_eps0.3_it10,0.6318413823740061,PGD,0.3,10.0,
0.3882849967815925,0.22458537837230938,0.1391765898654156,0.17185428837940006,0.40286666666666665,0.8608234101345844,SVM,mi,30,PGD_eps0.3_it10,0.5877627988359337,PGD,0.3,10.0,
0.5162688231507756,0.16571803852889666,0.015048804246267618,0.02759198848207614,0.06351666666666667,0.9849511957537324,RF,mi,30,PGD_eps0.3_it10,0.48353172624497975,PGD,0.3,10.0,
0.27323826187864336,0.020644042764953286,0.012782537820805916,0.015788827501534684,0.5084,0.987217462179194,MLP,mi,30,PGD_eps0.3_it10,0.7262540456741884,PGD,0.3,10.0,
0.33825915886240626,0.1217617444070283,0.0726000437349661,0.09096343528942911,0.43901666666666667,0.9273999562650339,LR,mi,30,PGD_eps0.3_it25,0.636419680335077,PGD,0.3,25.0,
0.46956111801129613,0.3997997460193416,0.32544778641432914,0.358812506164316,0.4096166666666667,0.6745522135856709,SVM,mi,30,PGD_eps0.3_it25,0.5064776116696735,PGD,0.3,25.0,
0.5144918995856868,0.12279480037140204,0.010516271395344215,0.01937338631411254,0.06298333333333334,0.9894837286046558,RF,mi,30,PGD_eps0.3_it25,0.4853086498100686,PGD,0.3,25.0,
0.27253111882723047,0.023461624168337948,0.014651213645309425,0.018038083117137404,0.5112666666666666,0.9853487863546906,MLP,mi,30,PGD_eps0.3_it25,0.7269611887256013,PGD,0.3,25.0,
0.2804003517583384,0.10461605418491418,0.07645667256426059,0.08834677141478878,0.5486166666666666,0.9235433274357394,LR,mi,30,PGD_eps0.5_it10,0.6942422236929185,PGD,0.5,10.0,
0.2826396380878127,0.08733249341427099,0.060632566646124486,0.07157356236873291,0.5312333333333333,0.9393674333538755,SVM,mi,30,PGD_eps0.5_it10,0.693462553149053,PGD,0.5,10.0,
0.5159243175616257,0.14847658026375626,0.012981333121285013,0.023875249081369627,0.06241666666666667,0.987018666878715,RF,mi,30,PGD_eps0.5_it10,0.4838580999610165,PGD,0.5,10.0,
