model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
LR,FGSM_eps0.5,516,508,0.0688976377952756,0.08333333333333333,FGSM,0.5,1,DDoS-LOIC-UDP,
LR,FGSM_eps0.5,51,0,,0.9019607843137255,FGSM,0.5,1,DDoS-LOIC-UDP - Attempted,
LR,FGSM_eps0.5,4580,4453,0.9997754322928363,0.9997816593886463,FGSM,0.5,1,DoS GoldenEye,
LR,FGSM_eps0.5,849,848,1.0,1.0,FGSM,0.5,1,DoS GoldenEye - Attempted,
LR,FGSM_eps0.5,5951,5951,1.0,1.0,FGSM,0.5,1,DoS Hulk,
LR,FGSM_eps0.5,19,19,0.631578947368421,0.631578947368421,FGSM,0.5,1,DoS Hulk - Attempted,
LR,FGSM_eps0.5,1713,1633,0.9993876301285977,0.9994162288382954,FGSM,0.5,1,DoS Slowloris,
LR,FGSM_eps0.5,437,424,0.9976415094339622,0.9977116704805492,FGSM,0.5,1,DoS Slowloris - Attempted,
LR,FGSM_eps0.5,5957,5957,1.0,1.0,FGSM,0.5,1,FTP-BruteForce - Attempted,
LR,FGSM_eps0.5,47,47,0.0,0.0,FGSM,0.5,1,Infiltration - Communication Victim Attacker,
LR,FGSM_eps0.5,14,2,1.0,0.35714285714285715,FGSM,0.5,1,Infiltration - Dropbox Download,
LR,FGSM_eps0.5,2,0,,0.5,FGSM,0.5,1,Infiltration - Dropbox Download - Attempted,
LR,FGSM_eps0.5,6072,4496,0.9757562277580071,0.9695322793148881,FGSM,0.5,1,Infiltration - NMAP Portscan,
LR,FGSM_eps0.5,6059,6059,1.0,1.0,FGSM,0.5,1,SSH-BruteForce,
LR,FGSM_eps0.5,27,26,0.0,0.0,FGSM,0.5,1,Web Attack - Brute Force,
LR,FGSM_eps0.5,25,10,1.0,1.0,FGSM,0.5,1,Web Attack - Brute Force - Attempted,
LR,FGSM_eps0.5,6,2,0.5,0.6666666666666666,FGSM,0.5,1,Web Attack - SQL,
LR,FGSM_eps0.5,3,1,0.0,0.0,FGSM,0.5,1,Web Attack - SQL - Attempted,
LR,FGSM_eps0.5,19,0,,1.0,FGSM,0.5,1,Web Attack - XSS,
LR,FGSM_eps0.5,1,0,,0.0,FGSM,0.5,1,Web Attack - XSS - Attempted,
SVM,FGSM_eps0.5,60000,0,,,FGSM,0.5,1,Benign,
SVM,FGSM_eps0.5,6052,6045,0.9956989247311828,0.9957038995373431,FGSM,0.5,1,Botnet Ares,
SVM,FGSM_eps0.5,49,49,1.0,1.0,FGSM,0.5,1,Botnet Ares - Attempted,
SVM,FGSM_eps0.5,5894,5893,1.0,0.999830335934849,FGSM,0.5,1,DDoS-HOIC,
SVM,FGSM_eps0.5,5960,7,1.0,1.0,FGSM,0.5,1,DDoS-LOIC-HTTP,
SVM,FGSM_eps0.5,516,509,0.0019646365422396855,0.013565891472868217,FGSM,0.5,1,DDoS-LOIC-UDP,
SVM,FGSM_eps0.5,51,0,,0.9019607843137255,FGSM,0.5,1,DDoS-LOIC-UDP - Attempted,
SVM,FGSM_eps0.5,4580,4545,0.9997799779977998,0.9997816593886463,FGSM,0.5,1,DoS GoldenEye,
