model,sample_pos,orig_test_idx,clean_correct,eligible,wall_s_measured,init_success,init_trials,init_queries,init_time_s,bsearch_queries,bsearch_time_s,gradest_queries,gradest_time_s,stepsearch_queries,stepsearch_time_s,total_queries,total_time_s,status
XGB,26,35698,True,True,0.0449135999660939,True,3,3,0.0008604999165982008,100,0.03011329984292388,445,0.007613399997353554,15,0.005090000107884407,563,0.04367879987694323,success
XGB,27,6981,True,True,0.04693869990296662,True,4,4,0.0012219001073390245,100,0.0306275999173522,445,0.0075241997838020325,19,0.006230600411072373,568,0.04560600011609495,success
XGB,28,98071,True,True,0.0524341999553144,True,1,1,0.0003274998161941767,100,0.0326389002148062,445,0.008317899890244007,28,0.00981450011022389,574,0.05110060004517436,success
XGB,29,26331,True,True,0.050961900036782026,True,1,1,0.0003095001447945833,100,0.0307479000184685,445,0.007916799513623118,33,0.01067890040576458,579,0.04965450009331107,success
XGB,30,94388,True,True,0.04699499998241663,True,1,1,0.0003172997385263443,100,0.031069400487467647,445,0.0077837996650487185,19,0.006482699885964394,565,0.04565549991093576,success
XGB,31,16592,True,True,0.045764399925246835,True,1,1,0.00032710027880966663,100,0.0314561000559479,445,0.007880199933424592,12,0.004304899834096432,558,0.043970200000330806,success
XGB,32,87537,True,True,0.04740160005167127,True,2,2,0.0006280001252889633,100,0.03208119980990887,445,0.008091099560260773,15,0.00525480043143034,562,0.04605729994364083,success
XGB,33,46627,True,True,0.06161720003001392,True,3,3,0.0009798998944461346,100,0.04309759987518191,445,0.009961100062355399,14,0.00628550024703145,562,0.06032550008967519,success
XGB,34,90045,True,True,0.05410249996930361,True,7,7,0.0026077001821249723,100,0.035473799565806985,445,0.008486599894240499,14,0.005478100385516882,566,0.05204809992574155,success
XGB,35,69937,True,True,0.05334540014155209,True,4,4,0.0012656999751925468,100,0.03141849976964295,445,0.007657799869775772,36,0.011669700499624014,585,0.0520136000122875,success
XGB,36,81317,True,True,0.04937290004454553,True,2,2,0.0005906000733375549,100,0.030170099809765816,445,0.007639700081199408,30,0.009736900217831135,577,0.048138999845832586,success
XGB,37,48652,True,True,0.04715960007160902,True,4,4,0.0011221999302506447,100,0.03013689978979528,445,0.007392200408503413,22,0.007265899563208222,571,0.04591910005547106,success
XGB,38,35880,True,True,0.046110899886116385,True,2,2,0.0005743999499827623,100,0.030445499578490853,445,0.007507700473070145,19,0.006347199901938438,566,0.04487639991566539,success
XGB,39,9859,True,True,0.044127500150352716,True,3,3,0.000936900032684207,100,0.029827399645000696,445,0.007592300418764353,13,0.004502099938690662,561,0.04286040016449988,success
XGB,40,92572,True,True,0.05756840016692877,True,2,2,0.000570300268009305,100,0.029862899566069245,445,0.007581700338050723,60,0.0183271998539567,607,0.056343600153923035,success
XGB,41,47974,True,True,0.050788799999281764,True,1,1,0.000301100080832839,100,0.030803100671619177,445,0.007612900342792273,34,0.010835099034011364,580,0.049554199911653996,success
XGB,42,100916,True,True,0.05266260006465018,True,4,4,0.001185599947348237,100,0.03126499988138676,445,0.007817800622433424,35,0.011033699614927173,584,0.05130359996110201,success
XGB,43,103584,True,True,0.047075900016352534,True,2,2,0.0006073999684303999,100,0.03222130052745342,445,0.008810099679976702,12,0.004163599805906415,559,0.045804399996995926,success
XGB,44,59470,True,True,0.06417380017228425,True,1,1,0.0003049997612833977,100,0.03153130039572716,445,0.008254099870100617,72,0.02285690000280738,618,0.06294910004362464,success
XGB,45,5298,True,True,0.05506990011781454,True,5,5,0.0014863000251352787,100,0.03049920010380447,445,0.007983599789440632,44,0.013855400029569864,594,0.05382629996165633,success
XGB,46,67260,True,True,0.04653539997525513,True,1,1,0.0002983999438583851,100,0.030351799679920077,445,0.007551300572231412,22,0.007110199658200145,568,0.04531319998204708,success
XGB,47,16513,True,True,0.04795969999395311,True,1,1,0.0002991999499499798,100,0.02989430003799498,445,0.0074067998211830854,28,0.009121099952608347,574,0.046723200008273125,success
XGB,48,85738,True,True,0.04500250006094575,True,1,1,0.00030189985409379005,100,0.030415899818763137,445,0.0075538004748523235,17,0.005489499773830175,563,0.043762599816545844,success
XGB,49,19466,True,True,0.049467300064861774,True,6,6,0.0018316998612135649,100,0.03043850022368133,445,0.0076108998619019985,26,0.00830480013974011,577,0.04818729986436665,success
XGB,50,196,True,True,0.04387139994651079,True,3,3,0.0009755999781191349,100,0.030139299808070064,445,0.007630199193954468,11,0.003783400868996978,559,0.042530300095677376,success
XGB,51,72529,True,True,0.05177800008095801,True,1,1,0.00030220020562410355,100,0.029588800156489015,445,0.008103200001642108,41,0.012500099604949355,587,0.05049609998241067,epsilon_underflow
XGB,52,97707,True,True,0.044229499995708466,True,5,5,0.001544400118291378,100,0.0297027004417032,445,0.007607900537550449,10,0.003980799112468958,560,0.04283759999088943,success
XGB,53,53379,True,True,0.044038199819624424,True,3,3,0.0008553999941796064,100,0.03049350017681718,445,0.007842500461265445,10,0.0035508994478732347,558,0.04274379997514188,success
XGB,54,3886,True,True,0.1009207998868078,True,1,1,0.0003029999788850546,100,0.029717799741774797,445,0.007883200189098716,204,0.06167990015819669,750,0.09958590008318424,epsilon_underflow
XGB,55,100383,True,True,0.04272920009680092,True,1,1,0.00032279989682137966,100,0.030136599903926253,445,0.007582499412819743,10,0.0034181007649749517,556,0.04146170010790229,success
XGB,56,101125,True,True,0.06194079993292689,True,1,1,0.00030489987693727016,100,0.029610600089654326,445,0.007437899941578507,76,0.02332700020633638,622,0.0606819000095129,epsilon_underflow
XGB,57,83625,True,True,0.09097840008325875,True,1,1,0.00030099996365606785,100,0.030132900224998593,445,0.007520700339227915,172,0.0517704994417727,718,0.08972689998336136,epsilon_underflow
XGB,58,75603,True,True,0.04334660014137626,True,1,1,0.00029939995147287846,100,0.030210000229999423,445,0.00757319969125092,12,0.004021600121632218,558,0.0421057001221925,success
XGB,59,25488,True,True,0.04524190002121031,True,1,1,0.0003036998677998781,100,0.029877099907025695,445,0.007626700215041637,19,0.006168899824842811,565,0.04397779982537031,success
XGB,60,3574,True,True,0.044447099789977074,True,1,1,0.00030390010215342045,100,0.03125370014458895,445,0.008075699675828218,10,0.003548000007867813,556,0.043182400055229664,success
XGB,61,77750,True,True,0.044176199939101934,True,3,3,0.0008753000292927027,100,0.03062380012124777,445,0.007535200798884034,11,0.003840299090370536,559,0.04287629993632436,success
XGB,62,55469,True,True,0.0631258999928832,True,1,1,0.000309899915009737,100,0.02995100012049079,445,0.00748830009251833,78,0.023988699773326516,624,0.06173979979939759,epsilon_underflow
XGB,63,46129,True,True,0.04377629980444908,True,2,2,0.0005962997674942017,100,0.030892100417986512,445,0.007586500374600291,10,0.003396299434825778,557,0.042472600005567074,success
XGB,64,56120,True,True,0.0453571998514235,True,1,1,0.0003030998632311821,100,0.03046920010820031,445,0.00754620018415153,17,0.005718499654904008,563,0.04403859982267022,success
XGB,65,99237,True,True,0.0906677998136729,True,1,1,0.00035859993658959866,100,0.029707699781283736,445,0.007444400107488036,171,0.0516661002766341,717,0.08917890000157058,epsilon_underflow
XGB,66,100883,True,True,0.04392009996809065,True,1,1,0.0007563999388366938,100,0.03023880021646619,445,0.00756719964556396,12,0.004085400141775608,558,0.04264919995330274,success
XGB,67,72624,True,True,0.04353879997506738,True,1,1,0.0002996001858264208,100,0.029656799975782633,445,0.007969400379806757,13,0.004374099662527442,559,0.04230109998025,success
XGB,68,76858,True,True,0.0532389001455158,True,1,1,0.0003057001158595085,100,0.030494199600070715,445,0.007426599971950054,45,0.0137751002330333,591,0.052003500051796436,epsilon_underflow
XGB,69,50816,True,True,0.04306429997086525,True,2,2,0.0006053999532014132,100,0.03023419971577823,445,0.007502200314775109,10,0.0034829999785870314,557,0.04182630009017885,success
XGB,70,87030,True,True,0.044001900125294924,True,1,1,0.00031990022398531437,100,0.030337899457663298,445,0.007421000162139535,12,0.0041060002986341715,558,0.04218659992329776,success
XGB,71,52033,True,True,0.12649470008909702,True,1,1,0.00029890029691159725,100,0.030309799360111356,445,0.007597500458359718,292,0.08694449998438358,838,0.12515250011347234,epsilon_underflow
XGB,72,79060,True,True,0.04523769998922944,True,1,1,0.0003021000884473324,100,0.029946299735456705,445,0.00759640010073781,17,0.005648500053212047,563,0.04349460010416806,success
XGB,73,1819,True,True,0.042804500088095665,True,1,1,0.00036489986814558506,100,0.03013649955391884,445,0.007473299512639642,10,0.0034022009931504726,556,0.04137849994003773,success
XGB,74,94780,True,True,0.044726100051775575,True,2,2,0.0006296001374721527,100,0.03046859963797033,445,0.007566900225356221,14,0.004797900095582008,561,0.0434646001085639,success
XGB,75,27339,True,True,0.07112710014916956,True,1,1,0.0003052998799830675,100,0.030593300238251686,445,0.00760469981469214,105,0.03131990018300712,651,0.06982479989528656,epsilon_underflow
XGB,76,73306,True,True,0.04308520001359284,True,1,1,0.00030520022846758366,100,0.030557900434359908,445,0.007452400401234627,10,0.0034394990652799606,556,0.04175660014152527,success
XGB,77,100357,True,True,0.043985400116071105,True,2,2,0.0005846996791660786,100,0.02988010016269982,445,0.00762900011613965,14,0.004594999831169844,561,0.04269019979983568,success
XGB,78,94256,True,True,0.046386800007894635,True,2,2,0.0005807001143693924,100,0.0303273000754416,445,0.007411799626424909,20,0.006758600240573287,567,0.045080000068992376,success
XGB,79,42356,True,True,0.0445511001162231,True,1,1,0.00030179996974766254,100,0.031236400129273534,445,0.008229900384321809,10,0.003519299440085888,556,0.04328919993713498,success
XGB,80,86035,True,True,0.0451154001057148,True,3,3,0.0008626000490039587,100,0.030310599831864238,445,0.007329999934881926,16,0.005293600028380752,564,0.04379859985783696,success
XGB,81,96655,True,True,0.10868680011481047,True,1,1,0.0003178997430950403,100,0.029643600108101964,445,0.007931499974802136,231,0.06953039998188615,777,0.10742509993724525,epsilon_underflow
XGB,82,109984,True,True,0.04386490001343191,True,1,1,0.0003016002010554075,100,0.030160500202327967,445,0.00743780005723238,14,0.00464849965646863,560,0.0425501000136137,success
XGB,83,67056,True,True,0.042908200062811375,True,1,1,0.00032210000790655613,100,0.03034390020184219,445,0.007573300041258335,10,0.0034164998214691877,556,0.041657499969005585,success
XGB,84,91765,True,True,0.04378289985470474,True,1,1,0.00030509987846016884,100,0.030037600314244628,445,0.0074402999598532915,13,0.004710299661383033,559,0.04249449982307851,success
XGB,85,82959,True,True,0.04303790000267327,True,2,2,0.0005805997643619776,100,0.030378199880942702,445,0.007412099977955222,10,0.0033892004285007715,557,0.04176179994828999,success
XGB,86,12070,True,True,0.047359100077301264,True,1,1,0.00035050022415816784,100,0.02960029966197908,445,0.007515899837017059,25,0.0085745002143085,571,0.04604280018247664,success
XGB,87,101357,True,True,0.04521550005301833,True,1,1,0.0003386999014765024,100,0.030219400534406304,445,0.00745570077560842,18,0.005954998545348644,564,0.043970400001853704,success
XGB,88,7311,True,True,0.12565289996564388,True,3,3,0.0008598000276833773,100,0.0314467994030565,445,0.007474200334399939,266,0.08464000024832785,814,0.12442269991151989,epsilon_underflow
XGB,89,55096,True,True,0.04383739992044866,True,3,3,0.000883100088685751,100,0.030273900600150228,445,0.007681000046432018,11,0.003748199436813593,559,0.04258800018578768,success
XGB,90,5857,True,True,0.04376940010115504,True,1,1,0.00030419998802244663,100,0.030316600343212485,445,0.007317299954593182,13,0.004513699794188142,559,0.042453099973499775,success
XGB,91,36566,True,True,0.04273979994468391,True,1,1,0.0003060000017285347,100,0.029659000225365162,445,0.007960799848660827,10,0.0034851001109927893,556,0.04141229996457696,success
XGB,92,39294,True,True,0.1002462999895215,True,1,1,0.000301100080832839,100,0.030955099500715733,445,0.007351200096309185,204,0.06040480034425855,750,0.0990136000327766,epsilon_underflow
XGB,93,75690,True,True,0.042641500011086464,True,1,1,0.0003018002025783062,100,0.03024809993803501,445,0.007435699226334691,10,0.003366301069036126,556,0.04135340009815991,success
XGB,94,1097,True,True,0.044234300032258034,True,2,2,0.000658300006762147,100,0.029928900068625808,445,0.007541299797594547,14,0.004734100075438619,561,0.04286379995755851,success
XGB,95,89929,True,True,0.06409260001964867,True,1,1,0.00031919986940920353,100,0.029929599724709988,445,0.007888199994340539,82,0.024729100288823247,628,0.06286740000359714,epsilon_underflow
XGB,96,22311,True,True,0.04267660016193986,True,1,1,0.00030080019496381283,100,0.02996130008250475,445,0.0073511002119630575,11,0.003820999525487423,557,0.04143580002710223,success
XGB,97,93984,True,True,0.04262419999577105,True,1,1,0.00029959995299577713,100,0.030048900051042438,445,0.007521599996834993,10,0.003509099828079343,556,0.04138089995831251,success
XGB,98,100979,True,True,0.04360840003937483,True,1,1,0.000385599909350276,100,0.02985340030863881,445,0.007445000112056732,12,0.0040292993653565645,558,0.041714799823239446,success
