accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.875,0.0,0.0,0.0,0.0277777777777777,1.0,RF,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.87,0.0,0.0,0.0,0.0333333333333333,1.0,RF,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.785,0.1034482758620689,0.15,0.1224489795918367,0.1444444444444444,0.85,RF,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.785,0.074074074074074,0.1,0.0851063829787234,0.1388888888888889,0.9,RF,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.9,0.0,0.0,0.0,0.0,1.0,RF,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.9,0.0,0.0,0.0,0.0,1.0,RF,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.915,0.6666666666666666,0.3,0.4137931034482758,0.0166666666666666,0.7,MLP,0.5,Clean,0.0019389247894287,50,200,,,,,31
0.195,0.0674846625766871,0.55,0.1202185792349726,0.8444444444444444,0.45,MLP,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,31
0.16,0.0595238095238095,0.5,0.1063829787234042,0.8777777777777778,0.5,MLP,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,31
0.155,0.0538922155688622,0.45,0.0962566844919786,0.8777777777777778,0.55,MLP,0.5,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.18,0.0662650602409638,0.55,0.1182795698924731,0.8611111111111112,0.45,MLP,0.5,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.185,0.0666666666666666,0.55,0.1189189189189189,0.8555555555555555,0.45,MLP,0.5,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.15,0.0481927710843373,0.4,0.086021505376344,0.8777777777777778,0.6,MLP,0.5,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.765,0.0909090909090909,0.15,0.1132075471698113,0.1666666666666666,0.85,MLP,0.5,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.685,0.0784313725490196,0.2,0.1126760563380281,0.2611111111111111,0.8,MLP,0.5,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.875,0.3870967741935484,0.6666666666666666,0.4897959183673469,0.1043956043956044,0.3333333333333333,LR,0.1,Clean,0.0001233208179473,50,200,,,,,99
0.2,0.0872093023255814,0.8333333333333334,0.1578947368421052,0.8626373626373627,0.1666666666666666,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,99
0.17,0.0595238095238095,0.5555555555555556,0.1075268817204301,0.8681318681318682,0.4444444444444444,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,99
0.15,0.0365853658536585,0.3333333333333333,0.0659340659340659,0.8681318681318682,0.6666666666666666,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,99
0.15,0.0365853658536585,0.3333333333333333,0.0659340659340659,0.8681318681318682,0.6666666666666666,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,99
