accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr
0.125,0.039518253669552125,0.2567237163814181,0.0684931506849315,0.8938704028021016,0.7432762836185819,longer,"[32, 12]",50,0.8805147058823529,24.342942476272583,SVM,0.5,0.7993259803921569
0.6727941176470589,0.04676753782668501,0.08312958435207823,0.05985915492957746,0.2427320490367776,0.9168704156479217,longer,"[32, 12]",50,0.8805147058823529,24.342942476272583,RF,0.5,0.29013480392156865
0.19607843137254902,0.08096859629209231,0.5232273838630807,0.1402359108781127,0.8507880910683012,0.4767726161369193,wider,"[128, 64]",12,0.850796568627451,5.587646722793579,LR,0.3,0.7162990196078431
0.15257352941176472,0.03178386968613429,0.19559902200489,0.05468215994531784,0.8535901926444833,0.80440097799511,wider,"[128, 64]",12,0.850796568627451,5.587646722793579,SVM,0.3,0.7631740196078431
0.8327205882352942,0.06918238993710692,0.02689486552567237,0.03873239436619718,0.05183887915936953,0.9731051344743277,wider,"[128, 64]",12,0.850796568627451,5.587646722793579,RF,0.3,0.13020833333333334
0.16176470588235295,0.041748719968491534,0.2591687041564792,0.07191316146540028,0.8521891418563923,0.7408312958435208,wider,"[128, 64]",12,0.850796568627451,5.587646722793579,LR,0.5,0.7515318627450981
0.15287990196078433,0.031424025457438345,0.19315403422982885,0.05405405405405406,0.8528896672504378,0.8068459657701712,wider,"[128, 64]",12,0.850796568627451,5.587646722793579,SVM,0.5,0.7634803921568627
0.22824754901960784,0.03152753108348135,0.17359413202933985,0.053363397219090565,0.763922942206655,0.8264058679706602,wider,"[128, 64]",12,0.850796568627451,5.587646722793579,RF,0.5,0.7282475490196079
0.18964460784313725,0.0818997756170531,0.5354523227383863,0.14206941290950373,0.8598949211908932,0.46454767726161367,wider_longer,"[128, 64]",50,0.8627450980392157,23.148021697998047,LR,0.3,0.7215073529411765
0.1482843137254902,0.03600782778864971,0.22493887530562348,0.0620782726045884,0.8626970227670753,0.7750611246943765,wider_longer,"[128, 64]",50,0.8627450980392157,23.148021697998047,SVM,0.3,0.7653186274509803
0.8363970588235294,0.1165644171779141,0.04645476772616137,0.06643356643356643,0.050437828371278456,0.9535452322738386,wider_longer,"[128, 64]",50,0.8627450980392157,23.148021697998047,RF,0.3,0.12683823529411764
0.16482843137254902,0.0549366116019977,0.34963325183374083,0.0949535192563081,0.861646234676007,0.6503667481662592,wider_longer,"[128, 64]",50,0.8627450980392157,23.148021697998047,LR,0.5,0.7466299019607843
0.14307598039215685,0.02955082742316785,0.18337408312958436,0.05089921954530031,0.8626970227670753,0.8166259168704156,wider_longer,"[128, 64]",50,0.8627450980392157,23.148021697998047,SVM,0.5,0.7705269607843137
0.22763480392156862,0.031914893617021274,0.17603911980440098,0.05403377110694184,0.7649737302977233,0.823960880195599,wider_longer,"[128, 64]",50,0.8627450980392157,23.148021697998047,RF,0.5,0.7282475490196079
0.25949754901960786,0.08683127572016461,0.5158924205378973,0.14864388869320183,0.7772329246935201,0.4841075794621027,deep_long,"[256, 128, 64]",50,0.8958333333333334,26.645437717437744,LR,0.3,0.6513480392156863
0.16237745098039216,0.06768315358869469,0.4449877750611247,0.11749515816655907,0.8781085814360771,0.5550122249388753,deep_long,"[256, 128, 64]",50,0.8958333333333334,26.645437717437744,SVM,0.3,0.7536764705882353
0.8443627450980392,0.2265193370165746,0.10024449877750612,0.13898305084745763,0.04903677758318739,0.8997555012224939,deep_long,"[256, 128, 64]",50,0.8958333333333334,26.645437717437744,RF,0.3,0.11825980392156862
0.2193627450980392,0.07441305212892957,0.4572127139364303,0.12799452429842573,0.8147110332749562,0.5427872860635696,deep_long,"[256, 128, 64]",50,0.8958333333333334,26.645437717437744,LR,0.5,0.6942401960784313
0.15410539215686275,0.06605166051660516,0.43765281173594134,0.11478037832638666,0.8865148861646235,0.5623471882640587,deep_long,"[256, 128, 64]",50,0.8958333333333334,26.645437717437744,SVM,0.5,0.7622549019607843
0.6507352941176471,0.061224489795918366,0.12469437652811736,0.0821256038647343,0.2739054290718039,0.8753056234718827,deep_long,"[256, 128, 64]",50,0.8958333333333334,26.645437717437744,RF,0.5,0.3118872549019608
