accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.12,0.10416666666666667,0.1,0.10204081632653061,0.86,0.9,XGB,HopSkipJump_direct,0.9120879120879121,,,,,,100.0,91.0,0.3218919634819031,561.0,0.0,13.0,4.098884105682373
0.9319852941176471,0.7073170731707317,0.7799511002444988,0.7418604651162791,0.04623467600700525,0.2200488997555012,LGBM,clean,0.0,0.15117311477661133,,,,,,,,,,,
0.8517156862745098,0.3096446700507614,0.1491442542787286,0.20132013201320131,0.047635726795096325,0.8508557457212714,LGBM,FGSM_eps0.15,0.1213235294117647,0.15117311477661133,FGSM,0.15,1.0,,,,,,,,
0.6734068627450981,0.0898876404494382,0.17603911980440098,0.11900826446280992,0.2553415061295972,0.823960880195599,LGBM,FGSM_eps0.3,0.29901960784313725,0.15117311477661133,FGSM,0.3,1.0,,,,,,,,
0.19730392156862744,0.052610279239174426,0.31784841075794623,0.09027777777777778,0.8199649737302978,0.6821515892420538,LGBM,FGSM_eps0.5,0.7699142156862745,0.15117311477661133,FGSM,0.5,1.0,,,,,,,,
0.13694852941176472,0.04634513941220799,0.30073349633251834,0.08031341821743389,0.8865148861646235,0.6992665036674817,LGBM,FGSM_eps0.75,0.8308823529411765,0.15117311477661133,FGSM,0.75,1.0,,,,,,,,
0.8599877450980392,0.3867924528301887,0.20048899755501223,0.2640901771336554,0.04553415061295972,0.7995110024449877,LGBM,PGD_eps0.15_it10,0.11397058823529412,0.15117311477661133,PGD,0.15,10.0,,,,,,,,
0.8624387254901961,0.4074074074074074,0.21515892420537897,0.2816,0.04483362521891419,0.784841075794621,LGBM,PGD_eps0.15_it25,0.11060049019607843,0.15117311477661133,PGD,0.15,25.0,,,,,,,,
0.7576593137254902,0.14760147601476015,0.19559902200489,0.16824395373291273,0.16182136602451838,0.80440097799511,LGBM,PGD_eps0.3_it10,0.21537990196078433,0.15117311477661133,PGD,0.3,10.0,,,,,,,,
0.7481617647058824,0.14821124361158433,0.21271393643031786,0.1746987951807229,0.17513134851138354,0.7872860635696821,LGBM,PGD_eps0.3_it25,0.22579656862745098,0.15117311477661133,PGD,0.3,25.0,,,,,,,,
0.23774509803921567,0.06046511627906977,0.34963325183374083,0.10310021629416005,0.7782837127845884,0.6503667481662592,LGBM,PGD_eps0.5_it10,0.7291666666666666,0.15117311477661133,PGD,0.5,10.0,,,,,,,,
0.21875,0.060730406237176855,0.36185819070904646,0.10400562192550948,0.8017513134851139,0.6381418092909535,LGBM,PGD_eps0.5_it25,0.7487745098039216,0.15117311477661133,PGD,0.5,25.0,,,,,,,,
0.1642156862745098,0.04970873786407767,0.31295843520782396,0.08579088471849866,0.8570928196147111,0.687041564792176,LGBM,PGD_eps0.75_it10,0.8033088235294118,0.15117311477661133,PGD,0.75,10.0,,,,,,,,
