accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.165,0.0625,0.37037037037037035,0.10695187165775401,0.8670520231213873,0.6296296296296297,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.155,0.05063291139240506,0.2962962962962963,0.08648648648648649,0.8670520231213873,0.7037037037037037,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.375,0.05454545454545454,0.2222222222222222,0.08759124087591241,0.6011560693641619,0.7777777777777778,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.225,0.04929577464788732,0.25925925925925924,0.08284023668639054,0.7803468208092486,0.7407407407407407,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.935,1.0,0.5185185185185185,0.6829268292682927,0.0,0.48148148148148145,RF,0.1,Clean,0.004304263591766357,50,200,,,,
0.905,0.8333333333333334,0.37037037037037035,0.5128205128205128,0.011560693641618497,0.6296296296296297,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.845,0.375,0.2222222222222222,0.27906976744186046,0.057803468208092484,0.7777777777777778,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.275,0.07246376811594203,0.37037037037037035,0.12121212121212122,0.7398843930635838,0.6296296296296297,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.16,0.05660377358490566,0.3333333333333333,0.0967741935483871,0.8670520231213873,0.6666666666666666,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.905,0.9,0.3333333333333333,0.4864864864864865,0.005780346820809248,0.6666666666666666,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.9,0.8181818181818182,0.3333333333333333,0.47368421052631576,0.011560693641618497,0.6666666666666666,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.86,0.4444444444444444,0.14814814814814814,0.2222222222222222,0.028901734104046242,0.8518518518518519,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.86,0.4444444444444444,0.14814814814814814,0.2222222222222222,0.028901734104046242,0.8518518518518519,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.56,0.1038961038961039,0.2962962962962963,0.15384615384615385,0.3988439306358382,0.7037037037037037,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.54,0.06666666666666667,0.18518518518518517,0.09803921568627451,0.4046242774566474,0.8148148148148148,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.155,0.05063291139240506,0.2962962962962963,0.08648648648648649,0.8670520231213873,0.7037037037037037,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.895,1.0,0.2222222222222222,0.36363636363636365,0.0,0.7777777777777778,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.89,1.0,0.18518518518518517,0.3125,0.0,0.8148148148148148,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.86,0.4864864864864865,0.6666666666666666,0.5625,0.10982658959537572,0.3333333333333333,MLP,0.1,Clean,0.001965293884277344,50,200,,,,
0.19,0.09090909090909091,0.5555555555555556,0.15625,0.8670520231213873,0.4444444444444444,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.16,0.05660377358490566,0.3333333333333333,0.0967741935483871,0.8670520231213873,0.6666666666666666,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.185,0.08536585365853659,0.5185185185185185,0.14659685863874344,0.8670520231213873,0.48148148148148145,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.185,0.08536585365853659,0.5185185185185185,0.14659685863874344,0.8670520231213873,0.48148148148148145,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.41,0.04040404040404041,0.14814814814814814,0.06349206349206349,0.5491329479768786,0.8518518518518519,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.87,0.5151515151515151,0.6296296296296297,0.5666666666666667,0.09248554913294797,0.37037037037037035,LR,0.25,Clean,0.00013997793197631836,50,200,,,,
0.38,0.13533834586466165,0.6666666666666666,0.225,0.6647398843930635,0.3333333333333333,LR,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.275,0.07857142857142857,0.4074074074074074,0.1317365269461078,0.7456647398843931,0.5925925925925926,LR,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.19,0.04081632653061224,0.2222222222222222,0.06896551724137931,0.815028901734104,0.7777777777777778,LR,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.18,0.040268456375838924,0.2222222222222222,0.06818181818181818,0.8265895953757225,0.7777777777777778,LR,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.245,0.12650602409638553,0.7777777777777778,0.21761658031088082,0.838150289017341,0.2222222222222222,LR,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.235,0.12048192771084337,0.7407407407407407,0.20725388601036268,0.8439306358381503,0.25925925925925924,LR,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
