accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s
0.45557598039215685,0.14,0.6503667481662592,0.23040277176266782,0.5723292469352014,0.34963325183374083,LR,FGSM,0.5,FGSM_eps0.15,,FGSM,0.15,1,,0.03957843780517578
0.24540441176470587,0.10590943975441289,0.6748166259168704,0.18308457711442785,0.8161120840630472,0.3251833740831296,LR,FGSM,0.5,FGSM_eps0.3,,FGSM,0.3,1,,0.03957843780517578
0.19914215686274508,0.07547169811320754,0.4792176039119804,0.13040585495675316,0.8409807355516637,0.5207823960880196,LR,FGSM,0.5,FGSM_eps0.5,,FGSM,0.5,1,,0.03957843780517578
0.16758578431372548,0.04566929133858268,0.28361858190709044,0.07867073584265853,0.8490367775831874,0.7163814180929096,LR,FGSM,0.5,FGSM_eps0.75,,FGSM,0.75,1,,0.03957843780517578
0.3314950980392157,0.11903738719381178,0.6772616136919315,0.20248538011695907,0.7180385288966725,0.32273838630806845,LR,FGSM,0.5,PGD_eps0.15_it10,,PGD,0.15,10,,0.03957843780517578
0.3314950980392157,0.11870967741935484,0.6748166259168704,0.20190197512801755,0.7176882661996498,0.3251833740831296,LR,FGSM,0.5,PGD_eps0.15_it25,,PGD,0.15,25,,0.03957843780517578
0.21721813725490197,0.10493372606774669,0.6968215158924206,0.1824,0.8514886164623467,0.30317848410757947,LR,FGSM,0.5,PGD_eps0.3_it10,,PGD,0.3,10,,0.03957843780517578
0.21629901960784315,0.10481794777491725,0.6968215158924206,0.18222506393861893,0.852539404553415,0.30317848410757947,LR,FGSM,0.5,PGD_eps0.3_it25,,PGD,0.3,25,,0.03957843780517578
0.19332107843137256,0.08006042296072508,0.5183374083129584,0.13869807000327117,0.8532399299474606,0.48166259168704156,LR,FGSM,0.5,PGD_eps0.5_it10,,PGD,0.5,10,,0.03957843780517578
0.19730392156862744,0.08455467869222097,0.5501222493887531,0.1465798045602606,0.8532399299474606,0.44987775061124696,LR,FGSM,0.5,PGD_eps0.5_it25,,PGD,0.5,25,,0.03957843780517578
0.1639093137254902,0.045098039215686274,0.28117359413202936,0.0777289624873268,0.8528896672504378,0.7188264058679706,LR,FGSM,0.5,PGD_eps0.75_it10,,PGD,0.75,10,,0.03957843780517578
0.17095588235294118,0.05363389040031092,0.3374083129584352,0.0925553319919517,0.8528896672504378,0.6625916870415648,LR,FGSM,0.5,PGD_eps0.75_it25,,PGD,0.75,25,,0.03957843780517578
0.7665441176470589,0.2751592356687898,0.5281173594132029,0.36180904522613067,0.19929947460595446,0.4718826405867971,LR,FGSM,0.5,CW_c0.0_it10,,CW,,10,0.0,0.03957843780517578
0.7542892156862745,0.26181818181818184,0.5281173594132029,0.3500810372771475,0.21330998248686514,0.4718826405867971,LR,FGSM,0.5,CW_c0.5_it10,,CW,,10,0.5,0.03957843780517578
0.8394607843137255,0.39488117001828155,0.5281173594132029,0.45188284518828453,0.1159369527145359,0.4718826405867971,SVM,FGSM,0.5,Clean,,Clean,0.0,0,,0.12659811973571777
0.6654411764705882,0.20534943917169973,0.5819070904645477,0.30357142857142855,0.3225919439579685,0.4180929095354523,SVM,FGSM,0.5,FGSM_eps0.15,,FGSM,0.15,1,,0.12659811973571777
0.33547794117647056,0.1183868169991327,0.6674816625916871,0.2011049723756906,0.7120840630472854,0.33251833740831294,SVM,FGSM,0.5,FGSM_eps0.3,,FGSM,0.3,1,,0.12659811973571777
0.23069852941176472,0.08881064162754304,0.5550122249388753,0.15311973018549746,0.8157618213660245,0.4449877750611247,SVM,FGSM,0.5,FGSM_eps0.5,,FGSM,0.5,1,,0.12659811973571777
0.18351715686274508,0.04735152487961477,0.2885085574572127,0.08135125818683213,0.831523642732049,0.7114914425427873,SVM,FGSM,0.5,FGSM_eps0.75,,FGSM,0.75,1,,0.12659811973571777
0.5128676470588235,0.15203299941072482,0.6308068459657702,0.245014245014245,0.5040280210157618,0.3691931540342298,SVM,FGSM,0.5,PGD_eps0.15_it10,,PGD,0.15,10,,0.12659811973571777
0.5098039215686274,0.14991181657848324,0.6234718826405868,0.24170616113744076,0.5064798598949212,0.3765281173594132,SVM,FGSM,0.5,PGD_eps0.15_it25,,PGD,0.15,25,,0.12659811973571777
0.23958333333333334,0.10753502461188943,0.6943765281173594,0.18622950819672132,0.825569176882662,0.3056234718826406,SVM,FGSM,0.5,PGD_eps0.3_it10,,PGD,0.3,10,,0.12659811973571777
0.24142156862745098,0.10777988614800758,0.6943765281173594,0.18659658344283836,0.8234676007005254,0.3056234718826406,SVM,FGSM,0.5,PGD_eps0.3_it25,,PGD,0.3,25,,0.12659811973571777
0.19975490196078433,0.08636875704093128,0.5623471882640587,0.14973958333333334,0.8521891418563923,0.43765281173594134,SVM,FGSM,0.5,PGD_eps0.5_it10,,PGD,0.5,10,,0.12659811973571777
0.20036764705882354,0.08736407949006374,0.5696821515892421,0.15149544863459039,0.852539404553415,0.43031784841075793,SVM,FGSM,0.5,PGD_eps0.5_it25,,PGD,0.5,25,,0.12659811973571777
0.16789215686274508,0.0499414748341787,0.31295843520782396,0.08613728129205922,0.8528896672504378,0.687041564792176,SVM,FGSM,0.5,PGD_eps0.75_it10,,PGD,0.75,10,,0.12659811973571777
0.17800245098039216,0.06201848998459168,0.39364303178484106,0.10715474209650583,0.8528896672504378,0.6063569682151589,SVM,FGSM,0.5,PGD_eps0.75_it25,,PGD,0.75,25,,0.12659811973571777
