accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.06,0.009345794392523364,0.012048192771084338,0.010526315789473684,0.905982905982906,0.9879518072289156,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.045,0.00909090909090909,0.012048192771084338,0.010362694300518135,0.9316239316239316,0.9879518072289156,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.39,0.024390243902439025,0.012048192771084338,0.016129032258064516,0.3418803418803419,0.9879518072289156,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.4,0.02564102564102564,0.012048192771084338,0.01639344262295082,0.3247863247863248,0.9879518072289156,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.055,0.009259259259259259,0.012048192771084338,0.010471204188481676,0.9145299145299145,0.9879518072289156,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.05,0.009174311926605505,0.012048192771084338,0.010416666666666666,0.9230769230769231,0.9879518072289156,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.005,0.00847457627118644,0.012048192771084338,0.009950248756218905,1.0,0.9879518072289156,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.005,0.00847457627118644,0.012048192771084338,0.009950248756218905,1.0,0.9879518072289156,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.005,0.00847457627118644,0.012048192771084338,0.009950248756218905,1.0,0.9879518072289156,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.005,0.00847457627118644,0.012048192771084338,0.009950248756218905,1.0,0.9879518072289156,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.47,0.23255813953488372,0.12048192771084337,0.15873015873015872,0.28205128205128205,0.8795180722891566,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.345,0.14705882352941177,0.12048192771084337,0.13245033112582782,0.49572649572649574,0.8795180722891566,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.97,0.9753086419753086,0.9518072289156626,0.9634146341463414,0.017094017094017096,0.04819277108433735,LR,0.25,Clean,0.00017039537429809572,50,200,,,,
0.08,0.028037383177570093,0.03614457831325301,0.031578947368421054,0.8888888888888888,0.963855421686747,LR,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.07,0.018691588785046728,0.024096385542168676,0.021052631578947368,0.8974358974358975,0.9759036144578314,LR,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.065,0.009433962264150943,0.012048192771084338,0.010582010582010581,0.8974358974358975,0.9879518072289156,LR,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.06,0.009345794392523364,0.012048192771084338,0.010526315789473684,0.905982905982906,0.9879518072289156,LR,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.085,0.037037037037037035,0.04819277108433735,0.041884816753926704,0.8888888888888888,0.9518072289156626,LR,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.18,0.0449438202247191,0.04819277108433735,0.046511627906976744,0.7264957264957265,0.9518072289156626,LR,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.05,0.018018018018018018,0.024096385542168676,0.020618556701030927,0.9316239316239316,0.9759036144578314,LR,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.06,0.01834862385321101,0.024096385542168676,0.020833333333333332,0.9145299145299145,0.9759036144578314,LR,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.04,0.009009009009009009,0.012048192771084338,0.010309278350515464,0.9401709401709402,0.9879518072289156,LR,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.04,0.009009009009009009,0.012048192771084338,0.010309278350515464,0.9401709401709402,0.9879518072289156,LR,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.24,0.24444444444444444,0.39759036144578314,0.30275229357798167,0.8717948717948718,0.6024096385542169,LR,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.205,0.21641791044776118,0.3493975903614458,0.2672811059907834,0.8974358974358975,0.6506024096385542,LR,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.975,1.0,0.9397590361445783,0.968944099378882,0.0,0.060240963855421686,SVM,0.25,Clean,0.00016932845115661622,50,200,,,,
0.365,0.2441860465116279,0.25301204819277107,0.2485207100591716,0.5555555555555556,0.7469879518072289,SVM,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.05,0.02654867256637168,0.03614457831325301,0.030612244897959183,0.9401709401709402,0.963855421686747,SVM,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.025,0.017241379310344827,0.024096385542168676,0.020100502512562814,0.9743589743589743,0.9759036144578314,SVM,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.015,0.01694915254237288,0.024096385542168676,0.01990049751243781,0.9914529914529915,0.9759036144578314,SVM,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.275,0.10256410256410256,0.0963855421686747,0.09937888198757763,0.5982905982905983,0.9036144578313253,SVM,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.38,0.1746031746031746,0.13253012048192772,0.1506849315068493,0.4444444444444444,0.8674698795180723,SVM,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.125,0.04,0.04819277108433735,0.04371584699453552,0.8205128205128205,0.9518072289156626,SVM,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.135,0.05,0.060240963855421686,0.0546448087431694,0.811965811965812,0.9397590361445783,SVM,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.1,0.019801980198019802,0.024096385542168676,0.021739130434782608,0.8461538461538461,0.9759036144578314,SVM,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.1,0.019801980198019802,0.024096385542168676,0.021739130434782608,0.8461538461538461,0.9759036144578314,SVM,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.095,0.01,0.012048192771084338,0.01092896174863388,0.8461538461538461,0.9879518072289156,SVM,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.095,0.01,0.012048192771084338,0.01092896174863388,0.8461538461538461,0.9879518072289156,SVM,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.75,0.6542056074766355,0.8433734939759037,0.7368421052631579,0.3162393162393162,0.1566265060240964,SVM,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.685,0.5862068965517241,0.8192771084337349,0.6834170854271356,0.41025641025641024,0.18072289156626506,SVM,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,Clean,0.005271979570388794,50,200,,,,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.585,0.5,0.012048192771084338,0.023529411764705882,0.008547008547008548,0.9879518072289156,RF,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.84,1.0,0.6144578313253012,0.7611940298507462,0.0,0.3855421686746988,MLP,0.25,Clean,0.0024772632122039796,50,200,,,,
0.415,0.027777777777777776,0.012048192771084338,0.01680672268907563,0.29914529914529914,0.9879518072289156,MLP,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.07,0.009523809523809525,0.012048192771084338,0.010638297872340425,0.8888888888888888,0.9879518072289156,MLP,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.055,0.009259259259259259,0.012048192771084338,0.010471204188481676,0.9145299145299145,0.9879518072289156,MLP,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.045,0.00909090909090909,0.012048192771084338,0.010362694300518135,0.9316239316239316,0.9879518072289156,MLP,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.415,0.027777777777777776,0.012048192771084338,0.01680672268907563,0.29914529914529914,0.9879518072289156,MLP,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.42,0.02857142857142857,0.012048192771084338,0.01694915254237288,0.2905982905982906,0.9879518072289156,MLP,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.09,0.009900990099009901,0.012048192771084338,0.010869565217391304,0.8547008547008547,0.9879518072289156,MLP,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.085,0.00980392156862745,0.012048192771084338,0.010810810810810811,0.8632478632478633,0.9879518072289156,MLP,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,MLP,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.025,0.008771929824561403,0.012048192771084338,0.01015228426395939,0.9658119658119658,0.9879518072289156,MLP,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.03,0.008849557522123894,0.012048192771084338,0.01020408163265306,0.9572649572649573,0.9879518072289156,MLP,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.03,0.008849557522123894,0.012048192771084338,0.01020408163265306,0.9572649572649573,0.9879518072289156,MLP,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.545,0.3181818181818182,0.08433734939759036,0.13333333333333333,0.1282051282051282,0.9156626506024096,MLP,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.47,0.1891891891891892,0.08433734939759036,0.11666666666666667,0.2564102564102564,0.9156626506024096,MLP,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.885,0.8947368421052632,0.8192771084337349,0.8553459119496856,0.06837606837606838,0.18072289156626506,LR,0.5,Clean,0.00017291665077209472,50,200,,,,
