accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.15,0.0,0.0,0.0,0.4339622641509434,1.0,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.14,0.037037037037037035,0.006802721088435374,0.011494252873563218,0.49056603773584906,0.9931972789115646,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.155,0.07692307692307693,0.013605442176870748,0.023121387283236993,0.4528301886792453,0.9863945578231292,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.175,0.09090909090909091,0.013605442176870748,0.023668639053254437,0.37735849056603776,0.9863945578231292,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.255,0.4772727272727273,0.14285714285714285,0.2198952879581152,0.4339622641509434,0.8571428571428571,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.275,0.5238095238095238,0.14965986394557823,0.2328042328042328,0.37735849056603776,0.8503401360544217,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.26,0.4897959183673469,0.16326530612244897,0.24489795918367346,0.4716981132075472,0.8367346938775511,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.36,0.6666666666666666,0.2585034013605442,0.37254901960784315,0.3584905660377358,0.7414965986394558,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.235,0.0,0.0,0.0,0.11320754716981132,1.0,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.22,0.0,0.0,0.0,0.16981132075471697,1.0,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.96,0.986013986013986,0.9591836734693877,0.9724137931034482,0.03773584905660377,0.04081632653061224,MLP,0.1,Clean,0.0021626627445220947,50,200,,,,
0.055,0.09615384615384616,0.034013605442176874,0.05025125628140704,0.8867924528301887,0.9659863945578231,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.07,0.1694915254237288,0.06802721088435375,0.0970873786407767,0.9245283018867925,0.9319727891156463,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.12,0.29577464788732394,0.14285714285714285,0.1926605504587156,0.9433962264150944,0.8571428571428571,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.125,0.3055555555555556,0.14965986394557823,0.2009132420091324,0.9433962264150944,0.8503401360544217,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.105,0.23333333333333334,0.09523809523809523,0.13526570048309178,0.8679245283018868,0.9047619047619048,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.08,0.17543859649122806,0.06802721088435375,0.09803921568627451,0.8867924528301887,0.9319727891156463,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.04,0.09090909090909091,0.034013605442176874,0.04950495049504951,0.9433962264150944,0.9659863945578231,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.035,0.07407407407407407,0.027210884353741496,0.03980099502487562,0.9433962264150944,0.9727891156462585,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.03,0.07272727272727272,0.027210884353741496,0.039603960396039604,0.9622641509433962,0.9727891156462585,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.035,0.07407407407407407,0.027210884353741496,0.03980099502487562,0.9433962264150944,0.9727891156462585,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.025,0.07142857142857142,0.027210884353741496,0.03940886699507389,0.9811320754716981,0.9727891156462585,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.03,0.07272727272727272,0.027210884353741496,0.039603960396039604,0.9622641509433962,0.9727891156462585,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.68,0.7455621301775148,0.8571428571428571,0.7974683544303798,0.8113207547169812,0.14285714285714285,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.58,0.7032258064516129,0.7414965986394558,0.7218543046357616,0.8679245283018868,0.2585034013605442,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,LR,0.25,Clean,0.0001534903049468994,50,200,,,,
0.88,0.9555555555555556,0.8775510204081632,0.9148936170212766,0.11320754716981132,0.12244897959183673,LR,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.83,0.924812030075188,0.8367346938775511,0.8785714285714286,0.18867924528301888,0.16326530612244897,LR,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.81,0.9291338582677166,0.8027210884353742,0.8613138686131386,0.16981132075471697,0.19727891156462585,LR,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.74,0.9130434782608695,0.7142857142857143,0.8015267175572519,0.18867924528301888,0.2857142857142857,LR,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.915,0.9452054794520548,0.9387755102040817,0.9419795221843004,0.1509433962264151,0.061224489795918366,LR,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,LR,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.9,0.9379310344827586,0.9251700680272109,0.9315068493150684,0.16981132075471697,0.07482993197278912,LR,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.9,0.9440559440559441,0.9183673469387755,0.9310344827586207,0.1509433962264151,0.08163265306122448,LR,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.88,0.9424460431654677,0.891156462585034,0.916083916083916,0.1509433962264151,0.10884353741496598,LR,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.88,0.9424460431654677,0.891156462585034,0.916083916083916,0.1509433962264151,0.10884353741496598,LR,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.87,0.9416058394160584,0.8775510204081632,0.9084507042253521,0.1509433962264151,0.12244897959183673,LR,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.88,0.948905109489051,0.8843537414965986,0.9154929577464789,0.1320754716981132,0.11564625850340136,LR,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,LR,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,LR,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.25,Clean,0.0001525282859802246,50,200,,,,
0.91,0.9574468085106383,0.9183673469387755,0.9375,0.11320754716981132,0.08163265306122448,SVM,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.82,0.944,0.8027210884353742,0.8676470588235294,0.1320754716981132,0.19727891156462585,SVM,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.82,0.944,0.8027210884353742,0.8676470588235294,0.1320754716981132,0.19727891156462585,SVM,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.82,0.944,0.8027210884353742,0.8676470588235294,0.1320754716981132,0.19727891156462585,SVM,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,SVM,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,SVM,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
