model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
MLP,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,
MLP,FGSM_eps0.3,4008,4002,0.5017491254372813,0.5012475049900199,FGSM,0.3,1,password,
MLP,FGSM_eps0.3,4083,4039,0.9418172815053231,0.9368111682586333,FGSM,0.3,1,ransomware,
MLP,FGSM_eps0.3,4043,3980,0.6768844221105528,0.6789512738065793,FGSM,0.3,1,scanning,
MLP,FGSM_eps0.3,3858,3821,0.7853964930646428,0.7791601866251944,FGSM,0.3,1,xss,
LR,FGSM_eps0.5,4110,4108,0.998539435248296,0.9982968369829683,FGSM,0.5,1,backdoor,
LR,FGSM_eps0.5,4032,2966,0.8236682400539447,0.6924603174603174,FGSM,0.5,1,ddos,
LR,FGSM_eps0.5,3977,3494,0.9957069261591299,0.9773698767915514,FGSM,0.5,1,dos,
LR,FGSM_eps0.5,3898,3757,0.6103273888741017,0.6177526936890713,FGSM,0.5,1,injection,
LR,FGSM_eps0.5,200,77,0.5454545454545454,0.74,FGSM,0.5,1,mitm,
LR,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,
LR,FGSM_eps0.5,4008,3972,0.7346424974823766,0.7360279441117764,FGSM,0.5,1,password,
LR,FGSM_eps0.5,4083,3445,0.9654571843251089,0.9708547636541759,FGSM,0.5,1,ransomware,
LR,FGSM_eps0.5,4043,3691,0.978867515578434,0.9628988374969082,FGSM,0.5,1,scanning,
LR,FGSM_eps0.5,3858,3600,0.8425,0.8413685847589425,FGSM,0.5,1,xss,
SVM,FGSM_eps0.5,4110,4109,0.9985397907033341,0.9985401459854014,FGSM,0.5,1,backdoor,
SVM,FGSM_eps0.5,4032,2966,0.6136210384356036,0.5376984126984127,FGSM,0.5,1,ddos,
SVM,FGSM_eps0.5,3977,3494,0.9951345163136806,0.978124214231833,FGSM,0.5,1,dos,
SVM,FGSM_eps0.5,3898,3757,0.5996805962203886,0.6067213955874807,FGSM,0.5,1,injection,
SVM,FGSM_eps0.5,200,77,0.5454545454545454,0.745,FGSM,0.5,1,mitm,
SVM,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,
SVM,FGSM_eps0.5,4008,3971,0.6698564593301436,0.6716566866267465,FGSM,0.5,1,password,
SVM,FGSM_eps0.5,4083,3433,0.8840664142149723,0.9025226549106049,FGSM,0.5,1,ransomware,
SVM,FGSM_eps0.5,4043,3698,0.9280692266089778,0.9121939154093495,FGSM,0.5,1,scanning,
SVM,FGSM_eps0.5,3858,3593,0.7990537155580295,0.7988595127008813,FGSM,0.5,1,xss,
RF,FGSM_eps0.5,4110,4110,0.9997566909975669,0.9997566909975669,FGSM,0.5,1,backdoor,
RF,FGSM_eps0.5,4032,4015,0.9840597758405978,0.9813988095238095,FGSM,0.5,1,ddos,
RF,FGSM_eps0.5,3977,3971,0.9959707882145555,0.9957254211717375,FGSM,0.5,1,dos,
RF,FGSM_eps0.5,3898,3897,0.9997433923530922,0.9997434581836839,FGSM,0.5,1,injection,
RF,FGSM_eps0.5,200,194,0.8608247422680413,0.855,FGSM,0.5,1,mitm,
RF,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,
RF,FGSM_eps0.5,4008,4007,0.9992513102071375,0.999001996007984,FGSM,0.5,1,password,
RF,FGSM_eps0.5,4083,4083,0.9946118050453098,0.9946118050453098,FGSM,0.5,1,ransomware,
RF,FGSM_eps0.5,4043,4043,0.9727924808310661,0.9727924808310661,FGSM,0.5,1,scanning,
RF,FGSM_eps0.5,3858,3855,0.9940337224383917,0.993260756868844,FGSM,0.5,1,xss,
MLP,FGSM_eps0.5,4110,4109,0.9987831589194451,0.9987834549878345,FGSM,0.5,1,backdoor,
MLP,FGSM_eps0.5,4032,3034,0.6849044166117337,0.7299107142857143,FGSM,0.5,1,ddos,
MLP,FGSM_eps0.5,3977,3936,0.9982215447154471,0.9932109630374655,FGSM,0.5,1,dos,
MLP,FGSM_eps0.5,3898,3880,0.5255154639175258,0.5261672652642381,FGSM,0.5,1,injection,
MLP,FGSM_eps0.5,200,163,0.9079754601226994,0.77,FGSM,0.5,1,mitm,
MLP,FGSM_eps0.5,10000,0,,,FGSM,0.5,1,normal,
MLP,FGSM_eps0.5,4008,4002,0.5399800099950025,0.5394211576846307,FGSM,0.5,1,password,
MLP,FGSM_eps0.5,4083,4039,0.9088883386976975,0.9042370805780063,FGSM,0.5,1,ransomware,
MLP,FGSM_eps0.5,4043,3980,0.6939698492462312,0.6957704674746475,FGSM,0.5,1,scanning,
MLP,FGSM_eps0.5,3858,3821,0.5488092122481026,0.5448418869880767,FGSM,0.5,1,xss,
LR,FGSM_eps0.75,4110,4108,0.9995131450827653,0.9992700729927008,FGSM,0.75,1,backdoor,
LR,FGSM_eps0.75,4032,2966,0.9919082939986514,0.8162202380952381,FGSM,0.75,1,ddos,
LR,FGSM_eps0.75,3977,3494,0.9962793360045793,0.9778727684184059,FGSM,0.75,1,dos,
LR,FGSM_eps0.75,3898,3757,0.9997338301836571,0.9928168291431503,FGSM,0.75,1,injection,
LR,FGSM_eps0.75,200,77,0.6493506493506493,0.78,FGSM,0.75,1,mitm,
LR,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,
LR,FGSM_eps0.75,4008,3972,0.9984894259818731,0.9975049900199601,FGSM,0.75,1,password,
LR,FGSM_eps0.75,4083,3445,0.9933236574746008,0.994366887092824,FGSM,0.75,1,ransomware,
LR,FGSM_eps0.75,4043,3691,0.9986453535627201,0.9782339846648528,FGSM,0.75,1,scanning,
LR,FGSM_eps0.75,3858,3600,0.9866666666666667,0.9758942457231726,FGSM,0.75,1,xss,
SVM,FGSM_eps0.75,4110,4109,0.9992698953516671,0.9992700729927008,FGSM,0.75,1,backdoor,
SVM,FGSM_eps0.75,4032,2966,0.9925826028320971,0.816468253968254,FGSM,0.75,1,ddos,
SVM,FGSM_eps0.75,3977,3494,0.9954207212364052,0.9763640935378426,FGSM,0.75,1,dos,
SVM,FGSM_eps0.75,3898,3757,0.9177535267500665,0.9125192406362237,FGSM,0.75,1,injection,
SVM,FGSM_eps0.75,200,77,0.6493506493506493,0.76,FGSM,0.75,1,mitm,
SVM,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,
SVM,FGSM_eps0.75,4008,3971,0.9745656006043818,0.9735528942115769,FGSM,0.75,1,password,
SVM,FGSM_eps0.75,4083,3433,0.9732012816778328,0.9774675483712956,FGSM,0.75,1,ransomware,
SVM,FGSM_eps0.75,4043,3698,0.9878312601406165,0.9656195894138017,FGSM,0.75,1,scanning,
SVM,FGSM_eps0.75,3858,3593,0.932925132201503,0.9224987039917055,FGSM,0.75,1,xss,
RF,FGSM_eps0.75,4110,4110,0.4856447688564477,0.4856447688564477,FGSM,0.75,1,backdoor,
RF,FGSM_eps0.75,4032,4015,0.9708592777085928,0.9675099206349206,FGSM,0.75,1,ddos,
RF,FGSM_eps0.75,3977,3971,0.9964744396877361,0.9957254211717375,FGSM,0.75,1,dos,
RF,FGSM_eps0.75,3898,3897,0.9994867847061842,0.9994869163673679,FGSM,0.75,1,injection,
RF,FGSM_eps0.75,200,194,0.8608247422680413,0.855,FGSM,0.75,1,mitm,
RF,FGSM_eps0.75,10000,0,,,FGSM,0.75,1,normal,
RF,FGSM_eps0.75,4008,4007,0.9992513102071375,0.999001996007984,FGSM,0.75,1,password,
RF,FGSM_eps0.75,4083,4083,0.9921626255204506,0.9921626255204506,FGSM,0.75,1,ransomware,
RF,FGSM_eps0.75,4043,4043,0.8726193420727183,0.8726193420727183,FGSM,0.75,1,scanning,
RF,FGSM_eps0.75,3858,3855,0.9940337224383917,0.993260756868844,FGSM,0.75,1,xss,
MLP,FGSM_eps0.75,4110,4109,0.48454611827695304,0.4846715328467153,FGSM,0.75,1,backdoor,
