accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.9657655950152811,0.9930760353891525,0.9618429631469465,0.9772099992114187,0.0216,0.038157036853053494,MLP,mi,15,clean,0.0,,,,
0.8338269089530669,0.964698070751411,0.8119469713434133,0.8817559594052395,0.0957,0.18805302865658666,LR,mi,15,FGSM_eps0.15,0.06998507427325926,FGSM,0.15,1.0,
0.8492501599185008,0.9604503669920901,0.8369089384954516,0.8944338448776441,0.111,0.1630910615045484,SVM,mi,15,FGSM_eps0.15,0.06427539150418157,FGSM,0.15,1.0,
0.1746783861261816,0.30888985886803433,0.06591325405942439,0.10864336523207614,0.475,0.9340867459405756,RF,mi,15,FGSM_eps0.15,0.8246108649814021,FGSM,0.15,1.0,
0.08211518870383093,0.1945015896764541,0.0645782234779099,0.09696291634617626,0.8614,0.9354217765220901,MLP,mi,15,FGSM_eps0.15,0.9001634722452557,FGSM,0.15,1.0,
0.802411807908266,0.9596733813503833,0.7735726039305784,0.8566320566595613,0.1047,0.22642739606942158,LR,mi,15,FGSM_eps0.3,0.10386410481177,FGSM,0.3,1.0,
0.788883887322609,0.9406491148433954,0.7720512900121084,0.8480518373262853,0.1569,0.22794870998789157,SVM,mi,15,FGSM_eps0.3,0.1413205714421095,FGSM,0.3,1.0,
0.2249520244497619,0.4613263899525195,0.09351423515166568,0.15550622128142907,0.3517,0.9064857648483343,RF,mi,15,FGSM_eps0.3,0.7743135350280745,FGSM,0.3,1.0,
0.2602525527731053,0.5255459308055397,0.3145704616722034,0.3935674331883157,0.9147,0.6854295383277966,MLP,mi,15,FGSM_eps0.3,0.7388471652965007,FGSM,0.3,1.0,
0.7876282309460068,0.9385352601592273,0.7722686205718898,0.8473225235045646,0.1629,0.22773137942811014,LR,mi,15,FGSM_eps0.5,0.14101258025539576,FGSM,0.5,1.0,
0.6282309460067758,0.820581499165405,0.6563072433170852,0.7293082628946006,0.4622,0.3436927566829147,SVM,mi,15,FGSM_eps0.5,0.30436636736241085,FGSM,0.5,1.0,
0.2661043853206662,0.5556559450668594,0.19094042037939707,0.2842156341705756,0.4918,0.8090595796206029,RF,mi,15,FGSM_eps0.5,0.7332559406761591,FGSM,0.5,1.0,
0.2666019095453576,0.531248441318769,0.330683970318855,0.40763136744613265,0.9398,0.669316029681145,MLP,mi,15,FGSM_eps0.5,0.73256888341349,FGSM,0.5,1.0,
0.7749769006609964,0.9368340065397192,0.7560930174795865,0.8368153391519483,0.1642,0.24390698252041354,LR,mi,15,FGSM_eps0.75,0.1610793906512829,FGSM,0.75,1.0,
0.6051789902627401,0.7894168466522679,0.6581700766866404,0.7178436584663833,0.5655,0.3418299233133596,SVM,mi,15,FGSM_eps0.75,0.33142220853372506,FGSM,0.75,1.0,
0.2761496363334834,0.5562652894808372,0.25415256605296654,0.34889717634523176,0.653,0.7458474339470335,RF,mi,15,FGSM_eps0.75,0.723447605960814,FGSM,0.75,1.0,
0.28136179487786966,0.5453797774552491,0.34999534291657614,0.4263696363395677,0.9397,0.6500046570834239,MLP,mi,15,FGSM_eps0.75,0.7178800729702196,FGSM,0.75,1.0,
0.9002582387642446,0.9677882848264109,0.8992207147070694,0.9322453971932535,0.0964,0.10077928529293055,LR,mi,15,PGD_eps0.15_it10,0.004003885427278543,PGD,0.15,10.0,
0.9019640361060437,0.9702167576803243,0.8991275730385917,0.933320442167005,0.0889,0.1008724269614083,SVM,mi,15,PGD_eps0.15_it10,0.00381435238930086,PGD,0.15,10.0,
0.2086047999241868,0.41043321840803476,0.08500729609736409,0.14084362139917694,0.3933,0.9149927039026359,RF,mi,15,PGD_eps0.15_it10,0.7906370679239025,PGD,0.15,10.0,
