accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s
0.6116878054087378,0.5712242835624535,0.5955708407053257,0.5831435523114356,0.3748,0.40442915929467427,SVM,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,6.602036714553833
0.5806913683218045,0.5351638433768398,0.6129654294972466,0.5714285714285714,0.4463666666666667,0.3870345705027533,SVM,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,6.602036714553833
0.513331459706445,0.4730320932460482,0.5889509571993718,0.5246650668980724,0.5500666666666667,0.4110490428006282,SVM,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,6.602036714553833
0.43043253583311425,0.41072548907773915,0.5726298630300379,0.47834931705899447,0.6887833333333333,0.427370136969962,SVM,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,6.602036714553833
0.9109997008240937,0.8731978909332252,0.9415740611891935,0.9060978525993592,0.11463333333333334,0.058425938810806516,SVM,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,6.602036714553833
0.907763161473396,0.8687174963706195,0.9397650239548337,0.9028456837280366,0.11906666666666667,0.06023497604516629,SVM,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,6.602036714553833
0.9997189559667461,0.99990056083688,0.9994831322187544,0.9996918029527265,8.333333333333333e-05,0.0005168677812456514,RF,FGSM,0.3,Clean,,Clean,0.0,0,,32.33209776878357
0.7451293255849796,0.9993249324932493,0.4414249647138342,0.6123574590130028,0.00025,0.5585750352861658,RF,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,32.33209776878357
0.859913148327788,0.9988834492828309,0.6935968033715683,0.818706589074526,0.00065,0.3064031966284317,RF,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,32.33209776878357
0.5438292702827665,0.48478260869565215,0.004433135200683856,0.008785926757677837,0.00395,0.9955668647993161,RF,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,32.33209776878357
