accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence,seed
0.6122317616021323,0.5670220529341615,0.6333021887362583,0.5983321751216122,0.4054333333333333,0.3666978112637417,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.15_it10,0.3118138219268742,PGD,0.15,10.0,,99
0.5549985041204681,0.6275659824046921,0.0595590720235373,0.1087931441436534,0.0296333333333333,0.9404409279764626,RF,random,441209,110303,0.4560438066054413,PGD_eps0.15_it10,0.4448292430849569,PGD,0.15,10.0,,99
0.1550365810540057,0.0643621666632816,0.0629982307218257,0.0636728953184649,0.7678,0.9370017692781742,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.15_it10,0.8449180892632113,PGD,0.15,10.0,,99
0.5279638813087586,0.4803230412279136,0.4280062819314951,0.452658025586847,0.3882333333333333,0.5719937180685049,LR,random,441209,110303,0.4560438066054413,PGD_eps0.15_it25,0.391331151464602,PGD,0.15,25.0,,99
0.6110985195325603,0.5664739884393064,0.6273184501918375,0.5953456781971342,0.4025,0.3726815498081625,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.15_it25,0.3124484374858344,PGD,0.15,25.0,,99
0.5173476696010081,0.1163398692810457,0.0088463908713198,0.0164425066509015,0.0563333333333333,0.9911536091286802,RF,random,441209,110303,0.4560438066054413,PGD_eps0.15_it25,0.4824891435409735,PGD,0.15,25.0,,99
0.1573121311297063,0.0654017038274976,0.0637934119237421,0.064587547424247,0.7642833333333333,0.936206588076258,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.15_it25,0.8426425391875108,PGD,0.15,25.0,,99
0.090396453405619,0.1286060012174661,0.1721964892749935,0.1472428095464744,0.9781833333333332,0.8278035107250065,LR,random,441209,110303,0.4560438066054413,PGD_eps0.3_it10,0.8297961070868426,PGD,0.3,10.0,,99
0.3061748093886839,0.3581165880469122,0.65801244458581,0.4638095438271994,0.9888,0.34198755541419,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.3_it10,0.6205996210438519,PGD,0.3,10.0,,99
0.502597390823459,0.2415004533091568,0.0423632785320955,0.0720821283000997,0.11155,0.9576367214679044,RF,random,441209,110303,0.4560438066054413,PGD_eps0.3_it10,0.4972575541916357,PGD,0.3,10.0,,99
0.0154664877655186,0.010677231977974,0.0126433811104705,0.0115774240231548,0.9821666666666666,0.9873566188895294,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.3_it10,0.9845244462979248,PGD,0.3,10.0,,99
0.0988459062763478,0.1409725776965265,0.1916187901318012,0.1624395422909048,0.9789333333333332,0.8083812098681987,LR,random,441209,110303,0.4560438066054413,PGD_eps0.3_it25,0.8215279729472453,PGD,0.3,25.0,,99
0.3007715112009646,0.3546093140230683,0.650299186927221,0.4589515331355094,0.9922666666666666,0.3497008130727789,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.3_it25,0.6258759961197792,PGD,0.3,25.0,,99
0.4795971097794257,0.1145618416766207,0.0209729042005447,0.0354550342788009,0.1359,0.9790270957994552,RF,random,441209,110303,0.4560438066054413,PGD_eps0.3_it25,0.520257835235669,PGD,0.3,25.0,,99
0.0153395646537265,0.01067472306143,0.0126433811104705,0.0115759489638979,0.9824,0.9873566188895294,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.3_it25,0.9846513694097168,PGD,0.3,25.0,,99
0.1844555451800948,0.2492348164824324,0.3917460191241079,0.3046479450254697,0.9893333333333332,0.6082539808758921,LR,random,441209,110303,0.4560438066054413,PGD_eps0.5_it10,0.7353562459769907,PGD,0.5,10.0,,99
0.2623319402010824,0.3238043379617025,0.5674413056875336,0.4123216929688346,0.9934666666666668,0.4325586943124664,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.5_it10,0.6637172153069273,PGD,0.5,10.0,,99
0.4484374858344741,0.1574326960593055,0.0481283422459893,0.0737199494526575,0.21595,0.9518716577540108,RF,random,441209,110303,0.4560438066054413,PGD_eps0.5_it10,0.5514265251171773,PGD,0.5,10.0,,99
0.0101447830068085,0.0100191395523009,0.0119674770888416,0.0109069826430409,0.9913833333333332,0.9880325229111584,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.5_it10,0.9898552169931916,PGD,0.5,10.0,,99
0.1034332701739753,0.1540630206034372,0.2150965151183826,0.1795344052300595,0.9901833333333332,0.7849034848816174,LR,random,441209,110303,0.4560438066054413,PGD_eps0.5_it25,0.8165598397142417,PGD,0.5,25.0,,99
0.1748003227473414,0.2411741523753829,0.3771345645388943,0.294206135045439,0.9948333333333332,0.6228654354611057,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.5_it25,0.7525271298151456,PGD,0.5,25.0,,99
0.3844501056181609,0.0874214426414032,0.0370554440093036,0.0520488656195462,0.3243,0.9629445559906964,RF,random,441209,110303,0.4560438066054413,PGD_eps0.5_it25,0.6154139053334905,PGD,0.5,25.0,,99
0.0104802226594018,0.010025313082867,0.0119674770888416,0.0109106396860925,0.9907666666666668,0.9880325229111584,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.5_it25,0.9895197773405982,PGD,0.5,25.0,,99
0.1369772354333064,0.1965799256505576,0.2890881259567023,0.2340237210125686,0.99055,0.7109118740432976,LR,random,441209,110303,0.4560438066054413,PGD_eps0.75_it10,0.7828708194700054,PGD,0.75,10.0,,99
0.1713008712365031,0.2376600334426815,0.3701369699620301,0.2894610015080142,0.9954,0.62986303003797,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.75_it10,0.7547573502080632,PGD,0.75,10.0,,99
0.3982937907400524,0.107221434508385,0.0435958093950659,0.0619876759568093,0.3043333333333333,0.956404190604934,RF,random,441209,110303,0.4560438066054413,PGD_eps0.75_it10,0.6015883520847121,PGD,0.75,10.0,,99
0.008594507855634,0.0089802434643783,0.0107349462258712,0.0097795083080545,0.9932,0.9892650537741288,MLP,random,441209,110303,0.4560438066054413,PGD_eps0.75_it10,0.991405492144366,PGD,0.75,10.0,,99
0.1291261343753116,0.1881891158873155,0.2744965509015367,0.2232931207348232,0.99275,0.7255034490984633,LR,random,441209,110303,0.4560438066054413,PGD_eps0.75_it25,0.7909576348784711,PGD,0.75,25.0,,99
0.1694332883058484,0.2359340841973383,0.3668767270341729,0.2871837166599234,0.9961,0.633123272965827,SVM,random,441209,110303,0.4560438066054413,PGD_eps0.75_it25,0.7588370216585224,PGD,0.75,25.0,,99
0.5069127766243892,0.1746815286624203,0.0218078444625569,0.0387748970538854,0.0863833333333333,0.9781921555374432,RF,random,441209,110303,0.4560438066054413,PGD_eps0.75_it25,0.4929421683907056,PGD,0.75,25.0,,99
