,,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,asr,asr,iters,iters,confidence,confidence
20,0.75,0.1817299836601307,0.1129605059806266,0.05797365456193406,0.009473548008080158,0.3677669111654442,0.10281884301339733,0.09979091535027292,0.017958921441786416,0.8449211908931699,0.14052136253803194,0.6322330888345559,0.10281884301339737,0.7741523692810457,0.11812052178090957,12.0,10.339685242263949,,
20,,0.5484579248366013,0.35735739578926756,0.25692931656172097,0.24440431779659771,0.40016299918500403,0.218729425111377,0.2626850393011339,0.2413333438764318,0.43029772329246935,0.40567490671875506,0.5998370008149959,0.218729425111377,0.38128063725490197,0.37938867585946096,10.0,0.0,0.25,0.2672612419124244
25,0.15,0.3772084354575163,0.28893937123694874,0.1541536532958363,0.16786942426909057,0.41676854115729417,0.2123743078903893,0.15813778079854732,0.09444021731500422,0.6284588441330998,0.3503935255164711,0.5832314588427058,0.21237430789038933,0.5774037479575164,0.2868172847759861,12.0,10.00425441414695,,
25,0.3,0.34233302696078427,0.28465841483310844,0.08241622448720161,0.06234081257357858,0.29278728606356963,0.17607704770977867,0.09915013238104613,0.039900228672452596,0.6505691768826619,0.3433995386920228,0.7072127139364303,0.1760770477097786,0.6130450878267973,0.2826524151653688,12.0,10.00425441414695,,
25,0.5,0.26748876633986923,0.19229647055065166,0.050087844523897175,0.013045625954849333,0.2609515077424613,0.09862670979417822,0.08116471555892395,0.019496531062600523,0.7315747227086983,0.23020925925622032,0.7390484922575387,0.09862670979417819,0.6870085273692811,0.19224625915403146,12.0,10.00425441414695,,
25,0.75,0.17734502655228757,0.04072119616321065,0.043384743011910594,0.009788950804430721,0.26716585167074164,0.07117185215424182,0.07460793653872276,0.01723799661368695,0.8355224751897256,0.0528554705823264,0.7328341483292583,0.07117185215424188,0.7770118464052288,0.05031410504232329,12.0,10.00425441414695,,
25,,0.5952946282679739,0.3060239004836594,0.2890296869212236,0.2420762047230882,0.379278728606357,0.23813634274870638,0.2690339660368221,0.23089419948614337,0.37375948628137773,0.3391830190277706,0.6207212713936431,0.2381363427487064,0.3298036662581699,0.33045766744308036,10.0,0.0,0.25,0.254000254000381
30,0.15,0.39693116830065356,0.27850939159916277,0.1505316548960301,0.1285322077367865,0.45055691388209723,0.21219870965901394,0.1652383798710057,0.07061274852610587,0.6107511188947266,0.34149493455031926,0.5494430861179027,0.21219870965901388,0.5542279411764706,0.2805768052732012,12.0,10.039920318408905,,
30,0.3,0.3447797521786492,0.27005886954814845,0.08997409428400374,0.06917842617615683,0.361043194784026,0.220383182269042,0.12113306477487804,0.06178234289896473,0.657550107024713,0.32819811570408497,0.6389568052159739,0.22038318226904197,0.6078771786492374,0.2706695891768831,12.0,10.039920318408905,,
30,0.5,0.28095213779956424,0.1968403042272962,0.06276983960749455,0.021892205527653124,0.3410078782939418,0.18275362360520062,0.10252671176043929,0.03851813943624617,0.7276512940260751,0.2407550019488381,0.6589921217060581,0.18275362360520064,0.6724962554466232,0.19817779165537477,12.0,10.039920318408905,,
