model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
SVM,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,7
RF,PGD_eps0.15_it10,192,192,0.4583333333333333,0.4583333333333333,PGD,0.15,10,Data Alteration,,7
RF,PGD_eps0.15_it10,217,94,0.9680851063829788,0.9723502304147466,PGD,0.15,10,Spoofing,,7
RF,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,7
MLP,PGD_eps0.15_it10,192,192,0.6354166666666666,0.6354166666666666,PGD,0.15,10,Data Alteration,,7
MLP,PGD_eps0.15_it10,217,125,1.0,0.576036866359447,PGD,0.15,10,Spoofing,,7
MLP,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,7
LR,PGD_eps0.15_it25,192,191,0.0575916230366492,0.0625,PGD,0.15,25,Data Alteration,,7
LR,PGD_eps0.15_it25,217,26,0.6923076923076923,0.5898617511520737,PGD,0.15,25,Spoofing,,7
LR,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,7
SVM,PGD_eps0.15_it25,192,190,0.8894736842105263,0.890625,PGD,0.15,25,Data Alteration,,7
SVM,PGD_eps0.15_it25,217,23,0.7391304347826086,0.576036866359447,PGD,0.15,25,Spoofing,,7
SVM,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,7
RF,PGD_eps0.15_it25,192,192,0.453125,0.453125,PGD,0.15,25,Data Alteration,,7
RF,PGD_eps0.15_it25,217,94,0.9680851063829788,0.9723502304147466,PGD,0.15,25,Spoofing,,7
RF,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,7
MLP,PGD_eps0.15_it25,192,192,0.6302083333333334,0.6302083333333334,PGD,0.15,25,Data Alteration,,7
MLP,PGD_eps0.15_it25,217,125,1.0,0.576036866359447,PGD,0.15,25,Spoofing,,7
MLP,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,7
LR,PGD_eps0.3_it10,192,191,0.6335078534031413,0.6354166666666666,PGD,0.3,10,Data Alteration,,7
LR,PGD_eps0.3_it10,217,26,0.6923076923076923,0.5529953917050692,PGD,0.3,10,Spoofing,,7
LR,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,7
SVM,PGD_eps0.3_it10,192,190,0.9526315789473684,0.953125,PGD,0.3,10,Data Alteration,,7
SVM,PGD_eps0.3_it10,217,23,0.7391304347826086,0.576036866359447,PGD,0.3,10,Spoofing,,7
SVM,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,7
RF,PGD_eps0.3_it10,192,192,0.7864583333333334,0.7864583333333334,PGD,0.3,10,Data Alteration,,7
RF,PGD_eps0.3_it10,217,94,0.9680851063829788,0.967741935483871,PGD,0.3,10,Spoofing,,7
RF,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,7
MLP,PGD_eps0.3_it10,192,192,0.9427083333333334,0.9427083333333334,PGD,0.3,10,Data Alteration,,7
