accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr,seed
0.8238357843137255,0.0284090909090909,0.0122249388753056,0.017094017094017,0.0598949211908931,0.9877750611246944,wider,"[128, 64]",12,0.8330269607843137,5.642422199249268,RF,0.3,0.1415441176470588,42
0.1746323529411764,0.0331017572537801,0.1980440097799511,0.0567226890756302,0.8287215411558669,0.8019559902200489,wider,"[128, 64]",12,0.8330269607843137,5.642422199249268,LR,0.5,0.7432598039215687,42
0.1694240196078431,0.0259472817133443,0.1540342298288508,0.0444131124427211,0.8283712784588442,0.8459657701711492,wider,"[128, 64]",12,0.8330269607843137,5.642422199249268,SVM,0.5,0.7545955882352942,42
0.4803921568627451,0.0179775280898876,0.0586797066014669,0.0275229357798165,0.4591943957968476,0.941320293398533,wider,"[128, 64]",12,0.8330269607843137,5.642422199249268,RF,0.5,0.4794730392156863,42
0.1004901960784313,0.0446846846846846,0.3031784841075794,0.0778894472361809,0.9285464098073556,0.6968215158924206,wider_longer,"[128, 64]",50,0.9139093137254902,23.320555686950684,LR,0.3,0.8253676470588235,42
0.0912990196078431,0.0339044841414509,0.2273838630806846,0.0590101522842639,0.9281961471103328,0.7726161369193154,wider_longer,"[128, 64]",50,0.9139093137254902,23.320555686950684,SVM,0.3,0.8422181372549019,42
0.8204656862745098,0.0461538461538461,0.0220048899755501,0.0298013245033112,0.0651488616462346,0.9779951100244498,wider_longer,"[128, 64]",50,0.9139093137254902,23.320555686950684,RF,0.3,0.1449142156862745,42
0.0958946078431372,0.0394927536231884,0.2665036674816626,0.0687914168507415,0.9285464098073556,0.7334963325183375,wider_longer,"[128, 64]",50,0.9139093137254902,23.320555686950684,LR,0.5,0.8299632352941176,42
0.0912990196078431,0.0339044841414509,0.2273838630806846,0.0590101522842639,0.9281961471103328,0.7726161369193154,wider_longer,"[128, 64]",50,0.9139093137254902,23.320555686950684,SVM,0.5,0.8422181372549019,42
0.3020833333333333,0.031578947368421,0.1540342298288508,0.0524126455906822,0.6767075306479859,0.8459657701711492,wider_longer,"[128, 64]",50,0.9139093137254902,23.320555686950684,RF,0.5,0.6559436274509803,42
0.2159926470588235,0.092185128983308,0.5941320293398533,0.1596059113300492,0.8381786339754816,0.4058679706601467,deep_long,"[256, 128, 64]",50,0.8863357843137255,27.560778379440308,LR,0.3,0.7077205882352942,42
0.1917892156862745,0.0445443400081732,0.2665036674816626,0.0763305322128851,0.8189141856392295,0.7334963325183375,deep_long,"[256, 128, 64]",50,0.8863357843137255,27.560778379440308,SVM,0.3,0.7435661764705882,42
0.8492647058823529,0.1327433628318584,0.0366748166259168,0.057471264367816,0.0343257443082311,0.9633251833740832,deep_long,"[256, 128, 64]",50,0.8863357843137255,27.560778379440308,RF,0.3,0.1148897058823529,42
