accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s,seed
0.1158088235294117,0.0710079667474887,0.5012224938875306,0.1243932038834951,0.9394045534150612,0.4987775061124694,SVM,PGD_direct,0.3,0.8838848039215687,1.5,0.0876522064208984,7
0.1161151960784313,0.071032571032571,0.5012224938875306,0.1244309559939302,0.9390542907180384,0.4987775061124694,SVM,FGSM_direct,0.5,0.8838848039215687,2.49999737739563,0.0123798847198486,7
0.1161151960784313,0.071032571032571,0.5012224938875306,0.1244309559939302,0.9390542907180384,0.4987775061124694,SVM,PGD_direct,0.5,0.8838848039215687,2.49999737739563,0.0879173278808593,7
0.1155024509803921,0.0706860706860706,0.4987775061124694,0.123823975720789,0.9394045534150612,0.5012224938875306,SVM,FGSM_direct,0.75,0.8844975490196079,3.7499749660491934,0.0112371444702148,7
0.1155024509803921,0.0706860706860706,0.4987775061124694,0.123823975720789,0.9394045534150612,0.5012224938875306,SVM,PGD_direct,0.75,0.8844975490196079,3.7499749660491934,0.0914537906646728,7
0.1464460784313725,0.1047555703358829,0.7701711491442543,0.1844262295081967,0.942907180385289,0.2298288508557457,LR,FGSM_direct,0.15,0.8511029411764706,0.6690614819526672,0.0102038383483886,123
0.1464460784313725,0.1047555703358829,0.7701711491442543,0.1844262295081967,0.942907180385289,0.2298288508557457,LR,PGD_direct,0.15,0.8511029411764706,0.6690614819526672,0.0772671699523925,123
0.1164215686274509,0.0740103270223752,0.5256723716381418,0.1297525648762824,0.9422066549912436,0.4743276283618582,LR,FGSM_direct,0.3,0.8817401960784313,1.33811616897583,0.0100867748260498,123
0.1164215686274509,0.0740103270223752,0.5256723716381418,0.1297525648762824,0.9422066549912436,0.4743276283618582,LR,PGD_direct,0.3,0.8817401960784313,1.33811616897583,0.0717024803161621,123
0.1158088235294117,0.0730782488796966,0.5183374083129584,0.1280966767371601,0.9418563922942208,0.4816625916870415,LR,FGSM_direct,0.5,0.8826593137254902,2.230191707611084,0.0097067356109619,123
0.1158088235294117,0.0730782488796966,0.5183374083129584,0.1280966767371601,0.9418563922942208,0.4816625916870415,LR,PGD_direct,0.5,0.8826593137254902,2.230191707611084,0.0747139453887939,123
0.1161151960784313,0.0725138121546961,0.5134474327628362,0.1270801815431164,0.9408056042031524,0.4865525672371638,LR,FGSM_direct,0.75,0.8832720588235294,3.345263957977295,0.009770393371582,123
0.1161151960784313,0.0725138121546961,0.5134474327628362,0.1270801815431164,0.9408056042031524,0.4865525672371638,LR,PGD_direct,0.75,0.8832720588235294,3.345263957977295,0.0731911659240722,123
0.1133578431372549,0.0746319753509072,0.5330073349633252,0.1309309309309309,0.9467600700525394,0.4669926650366748,SVM,FGSM_direct,0.15,0.8863357843137255,0.6708195805549622,0.0110678672790527,123
