accuracy,precision,recall,f1,fpr,fnr,model,oversample,applicable,n_features,attack,asr,family,epsilon,iters,confidence,n_train,n_categorical_selected,categorical_selected,resampled,seed
0.1485906862745098,0.0548459804658151,0.3569682151589242,0.095083034842071,0.8812609457092819,0.6430317848410758,SVM,smote,True,15.0,PGD_eps0.15_it25,0.7879901960784313,PGD,0.15,25.0,,,,,,99
0.8670343137254902,0.3853211009174312,0.1026894865525672,0.1621621621621621,0.0234676007005253,0.8973105134474327,RF,smote,True,15.0,PGD_eps0.15_it25,0.0891544117647058,PGD,0.15,25.0,,,,,,99
0.3293504901960784,0.1263643996641477,0.7359413202933985,0.2156932998925116,0.7288966725043783,0.2640586797066014,MLP,smote,True,15.0,PGD_eps0.15_it25,0.6681985294117647,PGD,0.15,25.0,,,,,,99
0.1721813725490196,0.0829392506365951,0.5574572127139364,0.1443951868271057,0.8830122591943957,0.4425427872860635,LR,smote,True,15.0,PGD_eps0.3_it10,0.7567401960784313,PGD,0.3,10.0,,,,,,99
0.1479779411764706,0.0544703230653643,0.3545232273838631,0.0944317811787691,0.8816112084063047,0.6454767726161369,SVM,smote,True,15.0,PGD_eps0.3_it10,0.7886029411764706,PGD,0.3,10.0,,,,,,99
0.8290441176470589,0.0484848484848484,0.0195599022004889,0.0278745644599303,0.0549912434325744,0.980440097799511,RF,smote,True,15.0,PGD_eps0.3_it10,0.1277573529411764,PGD,0.3,10.0,,,,,,99
0.1666666666666666,0.0693253820350354,0.4547677261613692,0.1203104786545925,0.8746059544658494,0.5452322738386308,MLP,smote,True,15.0,PGD_eps0.3_it10,0.8330269607843137,PGD,0.3,10.0,,,,,,99
0.1746323529411764,0.0856002901704751,0.5770171149144254,0.1490840176879343,0.8830122591943957,0.4229828850855746,LR,smote,True,15.0,PGD_eps0.3_it25,0.7542892156862745,PGD,0.3,25.0,,,,,,99
0.1470588235294117,0.0544090056285178,0.3545232273838631,0.0943396226415094,0.882661996497373,0.6454767726161369,SVM,smote,True,15.0,PGD_eps0.3_it25,0.7895220588235294,PGD,0.3,25.0,,,,,,99
0.8272058823529411,0.0467836257309941,0.0195599022004889,0.0275862068965517,0.057092819614711,0.980440097799511,RF,smote,True,15.0,PGD_eps0.3_it25,0.1289828431372549,PGD,0.3,25.0,,,,,,99
0.1654411764705882,0.0682581126445356,0.4474327628361858,0.1184466019417475,0.8749562171628722,0.5525672371638142,MLP,smote,True,15.0,PGD_eps0.3_it25,0.8342524509803921,PGD,0.3,25.0,,,,,,99
0.1537990196078431,0.0628019323671497,0.4132029339853301,0.1090322580645161,0.8833625218914186,0.58679706601467,LR,smote,True,15.0,PGD_eps0.5_it10,0.7751225490196079,PGD,0.5,10.0,,,,,,99
0.1476715686274509,0.0551181102362204,0.3594132029339853,0.0955786736020806,0.882661996497373,0.6405867970660146,SVM,smote,True,15.0,PGD_eps0.5_it10,0.7895220588235294,PGD,0.5,10.0,,,,,,99
0.7643995098039216,0.0287958115183246,0.0268948655256723,0.0278128950695322,0.1299474605954466,0.9731051344743276,RF,smote,True,15.0,PGD_eps0.5_it10,0.1911764705882352,PGD,0.5,10.0,,,,,,99
0.1498161764705882,0.0552631578947368,0.3594132029339853,0.0957966764418377,0.8802101576182136,0.6405867970660146,MLP,smote,True,15.0,PGD_eps0.5_it10,0.8501838235294118,PGD,0.5,10.0,,,,,,99
0.1556372549019608,0.0648869113830181,0.4278728606356968,0.1126851255634256,0.8833625218914186,0.5721271393643031,LR,smote,True,15.0,PGD_eps0.5_it25,0.7732843137254902,PGD,0.5,25.0,,,,,,99
0.1470588235294117,0.0554099588169225,0.3618581907090464,0.0961038961038961,0.8837127845884414,0.6381418092909535,SVM,smote,True,15.0,PGD_eps0.5_it25,0.7904411764705882,PGD,0.5,25.0,,,,,,99
0.7460171568627451,0.03125,0.0342298288508557,0.0326721120186697,0.1520140105078809,0.9657701711491442,RF,smote,True,15.0,PGD_eps0.5_it25,0.2092524509803921,PGD,0.5,25.0,,,,,,99
0.1498161764705882,0.0552631578947368,0.3594132029339853,0.0957966764418377,0.8802101576182136,0.6405867970660146,MLP,smote,True,15.0,PGD_eps0.5_it25,0.8501838235294118,PGD,0.5,25.0,,,,,,99
0.1501225490196078,0.0576131687242798,0.3765281173594132,0.099935107073329,0.8823117338003502,0.6234718826405868,LR,smote,True,15.0,PGD_eps0.75_it10,0.7800245098039216,PGD,0.75,10.0,,,,,,99
0.1455269607843137,0.0549738219895288,0.3594132029339853,0.0953616607200778,0.8851138353765324,0.6405867970660146,SVM,smote,True,15.0,PGD_eps0.75_it10,0.7916666666666666,PGD,0.75,10.0,,,,,,99
0.5150122549019608,0.04140625,0.1295843520782396,0.0627590290112492,0.4297723292469352,0.8704156479217604,RF,smote,True,15.0,PGD_eps0.75_it10,0.4417892156862745,PGD,0.75,10.0,,,,,,99
0.1488970588235294,0.0552009012392039,0.3594132029339853,0.095703125,0.8812609457092819,0.6405867970660146,MLP,smote,True,15.0,PGD_eps0.75_it10,0.8511029411764706,PGD,0.75,10.0,,,,,,99
