model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
SVM,PGD_eps0.5_it10,181,179,0.9050279329608939,0.9005524861878453,PGD,0.5,10,Data Alteration,
SVM,PGD_eps0.5_it10,228,29,0.7931034482758621,0.4166666666666667,PGD,0.5,10,Spoofing,
SVM,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,
RF,PGD_eps0.5_it10,181,180,0.9611111111111111,0.9558011049723757,PGD,0.5,10,Data Alteration,
RF,PGD_eps0.5_it10,228,92,1.0,0.9736842105263158,PGD,0.5,10,Spoofing,
RF,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,
MLP,PGD_eps0.5_it10,181,179,0.9273743016759777,0.9171270718232044,PGD,0.5,10,Data Alteration,
MLP,PGD_eps0.5_it10,228,95,1.0,0.4166666666666667,PGD,0.5,10,Spoofing,
MLP,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,
LR,PGD_eps0.5_it25,181,179,0.12849162011173185,0.1270718232044199,PGD,0.5,25,Data Alteration,
LR,PGD_eps0.5_it25,228,34,0.7058823529411765,0.4166666666666667,PGD,0.5,25,Spoofing,
LR,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,
SVM,PGD_eps0.5_it25,181,179,0.9050279329608939,0.9005524861878453,PGD,0.5,25,Data Alteration,
SVM,PGD_eps0.5_it25,228,29,0.7931034482758621,0.4166666666666667,PGD,0.5,25,Spoofing,
SVM,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,
RF,PGD_eps0.5_it25,181,180,0.9722222222222222,0.9668508287292817,PGD,0.5,25,Data Alteration,
RF,PGD_eps0.5_it25,228,92,1.0,0.9649122807017544,PGD,0.5,25,Spoofing,
RF,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,
MLP,PGD_eps0.5_it25,181,179,0.9273743016759777,0.9171270718232044,PGD,0.5,25,Data Alteration,
MLP,PGD_eps0.5_it25,228,95,1.0,0.4166666666666667,PGD,0.5,25,Spoofing,
MLP,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,
LR,PGD_eps0.75_it10,181,179,0.6256983240223464,0.6243093922651933,PGD,0.75,10,Data Alteration,
LR,PGD_eps0.75_it10,228,34,0.7058823529411765,0.4166666666666667,PGD,0.75,10,Spoofing,
LR,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,
SVM,PGD_eps0.75_it10,181,179,0.9050279329608939,0.9005524861878453,PGD,0.75,10,Data Alteration,
SVM,PGD_eps0.75_it10,228,29,0.7931034482758621,0.4166666666666667,PGD,0.75,10,Spoofing,
SVM,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,
RF,PGD_eps0.75_it10,181,180,0.9722222222222222,0.9668508287292817,PGD,0.75,10,Data Alteration,
RF,PGD_eps0.75_it10,228,92,0.8369565217391305,0.7017543859649122,PGD,0.75,10,Spoofing,
RF,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,
MLP,PGD_eps0.75_it10,181,179,0.9329608938547486,0.9226519337016574,PGD,0.75,10,Data Alteration,
MLP,PGD_eps0.75_it10,228,95,1.0,0.4166666666666667,PGD,0.75,10,Spoofing,
MLP,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,
LR,PGD_eps0.75_it25,181,179,0.6759776536312849,0.6740331491712708,PGD,0.75,25,Data Alteration,
LR,PGD_eps0.75_it25,228,34,0.7058823529411765,0.4166666666666667,PGD,0.75,25,Spoofing,
LR,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,
SVM,PGD_eps0.75_it25,181,179,0.9050279329608939,0.9005524861878453,PGD,0.75,25,Data Alteration,
SVM,PGD_eps0.75_it25,228,29,0.7931034482758621,0.4166666666666667,PGD,0.75,25,Spoofing,
SVM,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,
RF,PGD_eps0.75_it25,181,180,0.9722222222222222,0.9668508287292817,PGD,0.75,25,Data Alteration,
RF,PGD_eps0.75_it25,228,92,0.75,0.5921052631578947,PGD,0.75,25,Spoofing,
RF,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,
MLP,PGD_eps0.75_it25,181,179,0.9329608938547486,0.9226519337016574,PGD,0.75,25,Data Alteration,
MLP,PGD_eps0.75_it25,228,95,1.0,0.4166666666666667,PGD,0.75,25,Spoofing,
MLP,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,
LR,CW_c0.0_it10,181,179,0.08379888268156424,0.08287292817679558,CW,,10,Data Alteration,0.0
LR,CW_c0.0_it10,228,34,0.6470588235294118,0.7982456140350878,CW,,10,Spoofing,0.0
LR,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0
SVM,CW_c0.0_it10,181,179,0.8994413407821229,0.8950276243093923,CW,,10,Data Alteration,0.0
SVM,CW_c0.0_it10,228,29,0.7241379310344828,0.6666666666666666,CW,,10,Spoofing,0.0
SVM,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0
RF,CW_c0.0_it10,181,180,0.9222222222222223,0.9171270718232044,CW,,10,Data Alteration,0.0
RF,CW_c0.0_it10,228,92,0.9456521739130435,0.9780701754385965,CW,,10,Spoofing,0.0
RF,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0
MLP,CW_c0.0_it10,181,179,0.9888268156424581,0.9779005524861878,CW,,10,Data Alteration,0.0
MLP,CW_c0.0_it10,228,95,1.0,0.42543859649122806,CW,,10,Spoofing,0.0
MLP,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0
LR,CW_c0.5_it10,181,179,0.1005586592178771,0.09944751381215469,CW,,10,Data Alteration,0.5
LR,CW_c0.5_it10,228,34,0.6470588235294118,0.6228070175438597,CW,,10,Spoofing,0.5
LR,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5
SVM,CW_c0.5_it10,181,179,0.9106145251396648,0.9060773480662984,CW,,10,Data Alteration,0.5
SVM,CW_c0.5_it10,228,29,0.7586206896551724,0.4780701754385965,CW,,10,Spoofing,0.5
SVM,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5
RF,CW_c0.5_it10,181,180,0.9388888888888889,0.9337016574585635,CW,,10,Data Alteration,0.5
RF,CW_c0.5_it10,228,92,1.0,0.9912280701754386,CW,,10,Spoofing,0.5
RF,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5
MLP,CW_c0.5_it10,181,179,0.994413407821229,0.9834254143646409,CW,,10,Data Alteration,0.5
MLP,CW_c0.5_it10,228,95,1.0,0.4166666666666667,CW,,10,Spoofing,0.5
MLP,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5
